ID Temp Pres Molec_cm3overcm3
CAVVUS_clean 298 10000 78.7239529627
DACYAI_clean 298 10000 25.1956803482
DIGFAC_clean 298 10000 42.9864719297
GIMSUS_clean 298 10000 51.382359747
HIVROV_clean 298 10000 32.1212435491
HUXHUF01_clean 298 10000 66.8974697718
ic401157n_si_002_clean 298 10000 85.5428913196
ILUGAY_clean 298 10000 24.4156112361
JAJZAY_clean 298 10000 120.6405712181
LOVVEZ_clean 298 10000 52.6386885233
NIFZUZ_clean 298 10000 0.0015840216
NUCCEV_clean 298 10000 66.4939729299
OFODAP_clean 298 10000 109.8424178251
SAHYAD03_charged 298 10000 39.3746150291
TETRAN_clean 298 10000 103.8201623445
TUDKEJ_clean 298 10000 70.5545926387
USOXEH_clean 298 10000 57.704816775
CUQDUP_clean 298 10000 57.8372044427
FIHLOZ_clean 298 10000 23.3941184505
FIJDIM10_clean 298 10000 56.3455711743
HARHOA_clean 298 10000 61.698172372
HISJAW_clean 298 10000 10.3408196203
HOGJET_clean 298 10000 96.8357299042
ja408959g_si_003_clean 298 10000 103.2647665521
jacs.6b01345_ja6b01345_si_001_clean 298 10000 106.0135694929
JUZXAD_clean 298 10000 27.2706969974
KAHNOX_clean 298 10000 66.3432338963
KOSLAH_clean 298 10000 96.7004720016
KUSQUM_clean 298 10000 39.6930453937
LOMFIC_clean 298 10000 38.2579338766
NACZUP02_clean 298 10000 82.3301550326
NOCLOH_clean 298 10000 52.0180823605
OBUBIW_clean 298 10000 45.547304782
OGUJIL_clean 298 10000 0.0001869184
REHHOD_clean 298 10000 99.3447487201
ROYROO_clean 298 10000 58.2995783003
SIQFED_clean 298 10000 4.6794493579
SUXNIJ_clean 298 10000 68.4233983741
XALBOC_clean 298 10000 83.1300224828
YOZYOD_clean 298 10000 64.178247335
BEPREV_clean 298 10000 94.1212879296
BIHMUC_clean 298 10000 23.4269036029
cg301725z_si_003_clean 298 10000 89.0643690514
cg4012185_si_002_clean 298 10000 76.569779464
cm503311x_aloh200K_clean 298 10000 70.0479004706
DIDBAV_clean 298 10000 76.400689934
FUXCOS_clean 298 10000 30.7908813685
HIYMAF_clean 298 10000 21.4423014345
ic060030osi20060309_091447_clean 298 10000 79.5764743915
ja5b00450_si_005_clean 298 10000 76.1520938554
JORLEJ_clean 298 10000 87.2327769668
KUXRUS_clean 298 10000 73.2121996596
LAKFIN_clean 298 10000 83.916538815
MAZYER_clean 298 10000 43.4464973266
MOPKEJ_clean 298 10000 48.8263810198
NAWHOL_clean 298 10000 37.7902740483
NAXVOY03_clean 298 10000 45.2400780112
SETQUF_SL 298 10000 83.928374609
SETTAO_clean 298 10000 129.2188053207
YOYRIP_clean 298 10000 36.5924875166
ZALLEG_clean 298 10000 102.4806226123
ZARTAP04_clean 298 10000 47.7526666582
ANUGUM_clean 298 10000 112.1721456224
BELVAR_charged 298 10000 44.1361394896
COJGEO_clean 298 10000 81.5265480618
DAGJAZ_clean 298 10000 65.124202268
DAMRAN_clean 298 10000 89.4001742644
DIMKER_clean 298 10000 37.7286915166
EVUQOC_clean 298 10000 40.0428634799
FIFNUE_clean 298 10000 63.7804808152
ILUHUT_clean 298 10000 23.4846411355
IXAJUN_clean 298 10000 75.9017660306
LAVTIN_clean 298 10000 75.1618221833
LERNEC_clean 298 10000 53.0402128499
PEGQID_clean 298 10000 22.4859420491
PENXUC_clean 298 10000 47.1577871818
PEVQIS_clean_h 298 10000 123.3941042503
POFSIN01_clean 298 10000 80.0425430467
QUMYUT_clean 298 10000 0.0019690373
RUQVEF_clean 298 10000 101.4717676131
SAMYIR_clean 298 10000 15.4610961557
SAPKAX_clean 298 10000 98.363054311
VARREL_clean 298 10000 55.5128186884
WOHSOB_clean 298 10000 15.5778932341
YAGRON_clean 298 10000 44.0834267869
DIHYUP_clean 298 10000 59.158892017
DIRPIF_clean 298 10000 79.9069921873
FOCZAA_clean 298 10000 44.7502267058
FORWAL_clean 298 10000 43.0975313999
GUYLOC_clean 298 10000 68.6644573754
ic2017598_si_001_clean_h 298 10000 121.8685474807
IFASOZ_clean 298 10000 92.2734211837
IRELAU_clean 298 10000 71.4165804372
LALPOF_clean 298 10000 24.7216479879
LUBMAW_clean 298 10000 76.3235661165
NIKYOW_clean 298 10000 0.3833401838
NUJGEG_clean 298 10000 21.6724411862
OKOSUE_clean 298 10000 99.0901319512
PEHBIO_clean 298 10000 53.6425454213
QIYCIM_clean 298 10000 23.3623510222
QIYDEJ_clean 298 10000 124.2358548485
QUPZIM02_clean 298 10000 96.080501589
TORJOB_clean 298 10000 65.5843626945
VOTMAS_clean 298 10000 41.3463362024
YARGAB_clean 298 10000 80.5681874695
ACAJOF_clean 298 10000 46.6497795426
BENXOJ_clean 298 10000 50.2338203342
FOBNAN_clean 298 10000 98.5805783235
HAHPOW_clean 298 10000 31.2636034686
ic048812_clean 298 10000 21.8627010387
ILIFOY_clean 298 10000 44.7859511088
KABXES_clean 298 10000 74.1439424731
KUMBOL_clean 298 10000 0.7626064955
LABRUE_clean 298 10000 53.9608026408
MURFIQ_clean 298 10000 36.0411501523
SABZON_clean 298 10000 7.5729061586
SAHYIL_charged 298 10000 33.2363649603
TONTUN_clean 298 10000 99.9048482713
UJIPAG_clean 298 10000 0.0061500592
URENAI_clean 298 10000 115.7725312754
UXINAR_clean 298 10000 41.3023371285
VUKTEC_clean 298 10000 51.3168985764
ZUDQEW_clean 298 10000 39.7643421287
ac403674p_si_001_clean 298 10000 60.8076412932
