ID Temp Pres Molec_cm3overcm3 Molec_fluc Mol_kg Mill_gram Cm3_gram Heat_of_Ads Heat_fluc
 12294 298  2e+06       219.2401551741         0.4229548907        28.2719403762       850.1101060494       633.6865859294  	                   -18.11631             0.264063 
 12735 298  2e+06       217.9406922393         0.7330439793        17.1847286762       516.7282939550       385.1780917782  	                   -22.40473             0.602383 
 13258 298  2e+06        95.2749949352         0.3358723280        37.2361006927      1119.6538011716       834.6090578602  	                   -11.24806             0.450194 
 2226 298  2e+06       213.2784543801         1.5849380543        47.7575454949      1436.0235457867      1070.4364664863  	                   -15.95803             0.449727 
 2544 298  2e+06       217.7396262542         0.9616842007        18.6949416810       562.1389492026       419.0279694398  	                   -22.12143             0.541459 
 3219 298  2e+06       235.1557354732         0.6112405302        23.2795932778       699.9950214551       521.7882391433  	                   -21.89776             1.187442 
 3833 298  2e+06       220.1090958612         0.7058679520        16.6189483357       499.7158222646       372.4967049473  	                   -23.17520             0.952817 
 4043 298  2e+06       237.1657302359         0.8625761632        24.5452444596       738.0519374660       550.1565140366  	                   -27.85136             0.333156 
 4488 298  2e+06       235.7415545162         0.8871044874        39.0229647436      1173.3830877940       874.6597853623  	                   -19.84423             0.357717 
 4825 298  2e+06       137.0651598978         1.8368280871        38.1453366072      1146.9936522541       854.9886495966  	                   -12.04654             0.245773 
 5838 298  2e+06       216.9669361359         0.8089410256        16.4931649522       495.9336366739       369.6773992394  	                   -19.74846             0.384541 
 6311 298  2e+06       228.8537902812         0.8477619503        45.1013731886      1356.1549944624      1010.9010848320  	                   -18.13496             0.412683 
 6350 298  2e+06       230.3982039360         0.5993137207        26.8395289571       807.0388697908       601.5805511202  	                   -23.27658             0.867664 
 6498 298  2e+06       226.2922891992         1.0439731377        36.4959471020      1097.3980932472       818.0192732291  	                   -18.16096             0.345766 
 7386 298  2e+06        66.1303958556         0.9968731428        32.0879070293       964.8525599794       719.2175699451  	                    -8.73529             0.168527 
 7599 298  2e+06       237.6199353039         1.4702512688        27.8567339198       837.6252465053       624.3801584866  	                   -23.05488             0.476289 
 7766 298  2e+06       114.9909393831         1.9256110557        39.2326681546      1179.6886680473       879.3600725305  	                   -10.93361             0.089575 
 7903 298  2e+06       232.3991683247         1.0340329786        25.7291988426       773.6523091664       576.6936388632  	                   -20.00154             0.788750 
 8172 298  2e+06       102.7863946805         0.9542392895        28.9268543355       869.8027400871       648.3658115291  	                   -11.12282             0.224812 
 8710 298  2e+06        
 8737 298  2e+06       232.1156141752         0.5685166135        34.1921504604      1028.1251398800       766.3820311776  	                   -18.17509             0.287329 
 959 298  2e+06       194.5576880596         1.6503426862        25.3922462372       763.5204677961       569.1411913374  	                   -14.96789             0.721980 
 9737 298  2e+06       156.6665276551         1.2391225432        47.0060827336      1413.4277819585      1053.5931983792  	                   -12.98271             0.442600 
 9859 298  2e+06        61.3629987221         0.5649784439        46.4295401824      1396.0917009260      1040.6705876201  	                    -8.87090             0.146924 
 1105 298  2e+06       198.4914064237         0.9167360352        25.2793503065       760.1257955403       566.6107446849  	                   -15.39565             0.813989 
 11766 298  2e+06       128.9977384480         1.1131983648        41.4745654813      1247.1003684392       929.6099048393  	                   -12.36471             0.539386 
 11816 298  2e+06       115.6406486782         0.9942639010        42.6738873252      1283.1628249360       956.4914755618  	                   -11.82632             0.668398 
 1214 298  2e+06       193.0184302648         0.7294132794        32.5137456115       977.6571173416       728.7623055992  	                   -14.99329             0.850568 
 12852 298  2e+06       197.5653308768         2.1106500632        34.7663817413      1045.3917232355       779.2528371819  	                   -14.60753             0.492989 
 2425 298  2e+06       226.0533529968         0.7690183477        18.8564144502       566.9942803603       422.6472161739  	                   -25.57648             1.088823 
 2786 298  2e+06       228.8192432228         1.5036668628        20.7424516696       623.7056089521       464.9208086687  	                   -22.52898             0.400133 
 3261 298  2e+06       231.1682336782         0.6380047113        22.0547577231       663.1653921659       494.3348047244  	                   -24.08549             0.392350 
 3427 298  2e+06        
 4115 298  2e+06       169.0197169576         0.8683149789         9.1919733948       276.3938156885       206.0286687446  	                   -35.13337             4.597259 
 4576 298  2e+06       239.0094828529         0.4091951099        44.3646075651      1334.0011594583       994.3872380149  	                   -19.58744             0.260446 
 4885 298  2e+06       142.4510893560         0.2511497002         6.2850483538       188.9853703518       140.8729213741  	                   -29.64252             2.889356 
 5530 298  2e+06       237.7026313168         0.9345583732        21.0083821333       631.7018827001       470.8813676309  	                   -25.24775             0.520861 
 5920 298  2e+06        73.9155275992         0.8393169768         2.1117867161        63.4993992379        47.3335362387  	                   -29.30631             8.599689 
 6108 298  2e+06       235.9592783449         0.2426299004        30.5464582555       918.5026751425       684.6675745133  	                   -21.60788             0.353296 
 6256 298  2e+06       212.0533526381         0.6494716676        45.6158983940      1371.6262734439      1022.4336403069  	                   -16.65158             0.296463 
 7093 298  2e+06        68.1705968972         1.2753442285        26.8342628086       806.8805217629       601.4625157970  	                    -9.20135             0.130984 
 7229 298  2e+06       170.5560346191         2.6565071006        41.3100209941      1242.1526736719       925.9218086939  	                   -13.63719             0.305319 
 8119 298  2e+06       153.3091571925         1.2693387781        35.1589458889      1057.1957502916       788.0517604651  	                   -12.98320             0.379600 
 8988 298  2e+06       176.2158522109         1.5766884318         8.9555722667       269.2854607113       200.7299795924  	                   -31.34504             4.534826 
 9332 298  2e+06       193.8143743546         1.8346490881        29.9045357110       899.2006804748       670.2795381689  	                   -14.92765             0.209741 
 9474 298  2e+06       211.8365407373         0.4717972806        14.8407024587       446.2456758587       332.6391449865  	                   -21.02772             0.380874 
 9621 298  2e+06        89.0799035705         1.1409482717        24.4029555889       733.7734477200       546.9672547386  	                   -10.88558             0.269352 
 9654 298  2e+06       168.2727613303         0.7646124422        26.1548864315       786.4523263053       586.2349901575  	                   -13.19288             0.288342 
 1070 298  2e+06       168.2133806895         1.2794035009        12.3610078748       371.6836402270       277.0593307210  	                   -14.18648             0.384251 
 11078 298  2e+06       192.3187886094         0.3879290390        11.7388651767       352.9764065520       263.1146393742  	                   -20.48954             0.470231 
 11133 298  2e+06       140.8085439729         1.1896415094        29.2528869525       879.6062278905       655.6734987006  	                   -12.10480             0.213266 
 11610 298  2e+06       155.8975278165         0.8155027955        30.4507821438       915.6257863121       682.5230924655  	                   -13.21058             0.604962 
 12830 298  2e+06        89.8164054204         0.8024727059        35.4114099938      1064.7871035587       793.7104847881  	                   -11.04908             0.390624 
 1931 298  2e+06       219.6996981064         0.5543209939        49.4214768134      1486.0563631609      1107.7317827055  	                   -17.10470             0.146172 
 2842 298  2e+06       235.9205193223         0.5169775607        34.9974953943      1052.3410889106       784.4330129940  	                   -20.39291             0.354079 
 3656 298  2e+06       243.4000745221         0.4823339303        38.7176681143      1164.2031112344       867.8168741164  	                   -21.07242             0.637033 
 3692 298  2e+06       188.7634317688         0.8957423315        10.0580980972       302.4373540085       225.4419668174  	                   -22.97314             1.091215 
 3705 298  2e+06        
 4733 298  2e+06       241.1191590825         0.9036472232        19.6386280413       590.5146921187       440.1797326335  	                   -28.96850             2.803336 
 4972 298  2e+06       231.1639243105         0.8497480047        41.5033646486      1247.9663317531       930.2554086770  	                   -18.45029             0.440325 
 4979 298  2e+06       220.5183666885         0.8254640024        16.4091886399       493.4085495793       367.7951562114  	                   -30.20852             1.225648 
 5194 298  2e+06       172.2943276257         2.1903682526         8.2005392549       246.5823428779       183.8066879771  	                   -26.36686             1.675389 
 5608 298  2e+06        
 6018 298  2e+06       228.9829192371         0.2189658483        16.0513522787       482.6487537212       359.7746206900  	                   -25.38616             1.337900 
 646 298  2e+06        68.1175707145         0.7897949250        42.5905373427      1280.6565709796       954.6232710766  	                    -9.29975             0.394007 
 7858 298  2e+06        87.2109433147         1.5208564800        42.3778853348      1274.2623292471       949.8568941282  	                   -10.00747             0.367441 
 8060 298  2e+06       182.4101197005         1.0093804336        17.0842847980       513.7080429637       382.9267451283  	                   -15.74589             0.345829 
 807 298  2e+06       107.0353704740         0.7178086809         8.6604096892       260.4102053599       194.1142127372  	                   -11.53635             0.336725 
 842 298  2e+06        64.7749775855         0.3889050556        15.4386728603       464.2260717820       346.0420390648  	                    -9.10964             0.389273 
 8950 298  2e+06       184.6365888796         1.9555611548        41.0153260175      1233.2914786320       919.3165226349  	                   -14.56990             0.193198 
 9367 298  2e+06       168.5043887841         0.4804137547         8.2900931502       249.2751425385       185.8139468149  	                   -26.13095             1.475539 
 9619 298  2e+06       113.9261883700         0.8687746040        30.3838921660       913.6144688945       681.0238221257  	                   -11.74443             0.180564 
 1003 298  2e+06       205.4321781082         1.1875176020        25.7177071937       773.3067663165       576.4360653239  	                   -15.50894             0.639931 
 11208 298  2e+06       239.3266377776         0.5305981076        28.8217672858       866.6428733864       646.0103929459  	                   -20.92995             0.348249 
 11265 298  2e+06       189.9419023692         1.1441274247        40.7888432709      1226.4813598651       914.2401438453  	                   -14.90643             0.219460 
 1298 298  2e+06       123.3938897906         0.4399227063        39.8643224880      1198.6819074648       893.5179574405  	                   -12.71640             0.449442 
 2186 298  2e+06       124.4272268381         2.0294954806        43.5421443477      1309.2704800762       975.9525674071  	                   -11.54339             0.181182 
 2414 298  2e+06       220.0521162749         0.5780293870        17.2884741526       519.8478208332       387.5034403690  	                   -24.90357             0.632385 
 34 298  2e+06       219.2409324390         1.2168062947        34.5269634955      1038.1926464253       773.8865224266  	                   -17.90711             0.481844 
 3648 298  2e+06       248.5861432596         0.7827575618        29.7096968285       893.3420623227       665.9124241813  	                   -25.26365             0.824894 
 3906 298  2e+06       200.2809622877         0.4403459099        10.1565908137       305.3989354413       227.6495801769  	                   -25.06831             0.499873 
 4689 298  2e+06       146.7988850381         2.3628537497        31.1674181295       937.1743424315       698.5857540688  	                   -12.38799             0.234363 
 4773 298  2e+06       233.0332482361         0.7854321312        35.8123535933      1076.8430926902       802.6972249038  	                   -19.83884             0.372352 
 5777 298  2e+06       199.3483087363         0.6963611978        11.6081311845       349.0453609111       260.1843708436  	                   -23.26211             0.818675 
 6231 298  2e+06       148.0563427798         1.0334869983        44.9764602000      1352.3989808120      1008.1012881352  	                   -12.06143             0.349533 
 6919 298  2e+06       236.3950496263         0.9898486587        22.7094954819       682.8527280244       509.0100809709  	                   -24.61794             1.491053 
 716 298  2e+06       114.3684383043         0.7904633269        47.5475466904      1429.7090833357      1065.7295583763  	                   -11.37839             0.313025 
 7985 298  2e+06       188.2752766990         2.3331742147        16.7632876577       504.0559671096       375.7319230087  	                   -15.79652             0.196867 
 8105 298  2e+06        70.7213959166         0.3359985327        43.3478687090      1303.4287981251       971.5980779530  	                    -9.63874             0.201275 
 8421 298  2e+06        71.9649579813         0.2754345065        29.7779259128       895.3936453900       667.4417092239  	                    -9.59642             0.380554 
 8424 298  2e+06        64.1140799348         0.2309062368        29.1424107295       876.2843139220       653.1972873176  	                    -9.11633             0.317266 
 8616 298  2e+06        
 8702 298  2e+06        
 886 298  2e+06       151.7613328359         0.9016895064        32.6520033658       981.8143952871       731.8612115519  	                   -13.50524             0.550302 
 9927 298  2e+06       141.9611437750         1.1257983003        44.5047358095      1338.2146812451       997.5280690870  	                   -12.31787             0.140582 
 9949 298  2e+06        61.2434018432         0.4071750876        31.1281516663       935.9936375815       697.7056365170  	                    -8.78159             0.164292 
 1011 298  2e+06       206.5463764821         1.1192501791        18.8623307841       567.1721788391       422.7798247370  	                   -16.93174             0.427433 
 10960 298  2e+06       116.9842615105         0.1949667275        37.6286371641      1131.4569960328       843.4073608111  	                   -11.33666             0.276002 
 11691 298  2e+06       218.2104032236         0.8974992387        12.4818110515       375.3160757810       279.7670101951  	                   -24.90353             1.761411 
 1248 298  2e+06       153.0464548487         0.5271368204        37.3651831792      1123.5351876241       837.5023095840  	                   -14.08591             0.543016 
 2034 298  2e+06       237.8142500159         0.6951291312        44.5826077580      1340.5562159810       999.2734890533  	                   -19.67557             0.787576 
 2277 298  2e+06       146.0777455399         2.3290555934        45.3851293236      1364.6872690364      1017.2611879605  	                   -12.31388             0.193014 
 2670 298  2e+06       170.2952665694         1.2192973838         6.8162343475       204.9576232449       152.7789113552  	                   -31.81391             4.509509 
 2696 298  2e+06       228.8342103323         0.5173371790        28.0325276717       842.9111958603       628.3203953764  	                   -20.58805             0.687621 
 3094 298  2e+06       187.0685978858         0.7811079733        38.1049265633      1145.7785610303       854.0828998547  	                   -14.39454             0.429990 
 3622 298  2e+06        
 3855 298  2e+06       181.4638974766         0.9522190016        26.4286999164       794.6856349344       592.3722389667  	                   -14.60405             0.184602 
 3935 298  2e+06        
 4022 298  2e+06       182.9242488783         2.0510711716        11.9150425091       358.2738898064       267.0634738294  	                   -31.46806             3.225041 
 4538 298  2e+06       238.7361770573         0.6926600690        27.8275626332       836.7480939192       623.7263139744  	                   -24.71338             1.008520 
 5007 298  2e+06       154.0160013688         1.8935362803         5.5031567161       165.4746394222       123.3476211695  	                   -31.89986             2.812795 
 5564 298  2e+06       102.0179850845         1.9865790961        30.5602150370       918.9163283560       684.9759186804  	                   -10.58857             0.150772 
 5773 298  2e+06       159.7881198498         1.5296346914         6.7217199803       202.1156669551       150.6604686195  	                   -25.50207             1.176547 
 6864 298  2e+06        63.2438349132         0.6841932828        22.2768854191       669.8445587411       499.3135695147  	                    -8.42568             0.101617 
 7161 298  2e+06       225.9040205306         0.6821413205        21.8029545748       655.5939132280       488.6908950655  	                   -23.94672             0.158158 
 737 298  2e+06        75.9724422865         0.5705876060        48.7091670205      1464.6378915054      1091.7660882824  	                    -9.67803             0.149234 
 763 298  2e+06        86.6977916903         1.3043098985        40.2349807491      1209.8272455445       901.8258827157  	                   -10.19562             0.355903 
 8884 298  2e+06       221.5184680494         0.7803279253        20.8056352855       625.6054796256       466.3370047028  	                   -20.09539             0.451454 
 8966 298  2e+06       129.3226563314         1.5802474710        44.1394201412      1327.2299898034       989.3398925583  	                   -12.15076             0.207712 
