ID Temp Pres Molec_cm3overcm3 Molec_fluc Mol_kg Mill_gram Cm3_gram Heat_of_Ads Heat_fluc
 1010 298  4e+06       240.6885875598         1.1790243570        47.7243680163      1435.0259308583      1069.6928272876  	                   -14.65477             0.305841 
 1071 298  4e+06       198.3913091987         0.7563519823        37.9645357053      1141.5571427042       850.9361825673  	                   -12.21567             0.240142 
 10947 298  4e+06       244.1759424171         1.0340636118        58.4153354674      1756.4930587840      1309.3199124548  	                   -16.44323             0.453673 
 11020 298  4e+06       244.2945537443         0.9035238136        58.4011361177      1756.0660979695      1309.0016485747  	                   -15.75636             0.211492 
 11082 298  4e+06       246.2435875004         1.1923012109        50.7354317080      1525.5657254439      1137.1827358459  	                   -16.84306             0.414400 
 1376 298  4e+06       234.5393747763         1.3339209143        39.1420240785      1176.9630876975       877.3283784073  	                   -14.21160             0.610824 
 2226 298  4e+06       264.5599100931         1.3853288139        59.2405453195      1781.3063268347      1327.8161460661  	                   -19.61782             0.327372 
 2864 298  4e+06       193.9709243311         1.1415003325        10.2899715717       309.4095667891       230.6391732521  	                   -28.76950             3.089501 
 3122 298  4e+06       244.8213905774         0.5167109841        22.0740765027       663.7462893224       494.7678153818  	                   -23.86558             1.107465 
 37 298  4e+06       259.1962841892         0.5221770091        48.6100254396      1461.6567993443      1089.5439312931  	                   -19.82425             0.603499 
 3977 298  4e+06       232.2817178708         1.3975798492        19.2967718901       580.2354058349       432.5173771520  	                   -29.01068             1.349345 
 4200 298  4e+06       100.5705755539         0.5638033864         4.1248777089       124.0311128251        92.4549089299  	                   -37.88012             3.684293 
 4691 298  4e+06       257.6394435314         1.3062329447        63.4317752572      1907.3325874803      1421.7582722421  	                   -18.02504             0.354031 
 5343 298  4e+06       249.7560523200         0.6170393062        24.5652262421       738.6527704837       550.6043852253  	                   -25.05848             1.213336 
 618 298  4e+06       250.6605893595         1.4105209180        75.7386838608      2277.3895145580      1697.6050232108  	                   -17.25270             0.456433 
 651 298  4e+06       118.0003124604         1.5393730847        82.2639499440      2473.5980014229      1843.8621789451  	                    -9.48449             0.220995 
 6988 298  4e+06       227.6033880400         1.2389111901        88.0590723866      2647.8517699544      1973.7539128279  	                   -14.86660             0.264811 
 7318 298  4e+06       225.9380247372         0.4254399028       103.0848458240      3099.6623524744      2310.5412342425  	                   -14.57984             0.131215 
 8293 298  4e+06       247.7230212108         1.1888665740        38.2764794021      1150.9369902012       857.9280810221  	                   -17.88149             0.579207 
 8318 298  4e+06       207.8975558119         1.0427407080        73.7340494057      2217.1120809418      1652.6731951511  	                   -12.56620             0.302201 
 9197 298  4e+06       226.3552906028         0.9795744177        18.4766894376       555.5763137673       414.1360689506  	                   -24.04749             0.788136 
 9390 298  4e+06       210.9086234204         1.4128232001        12.2663957954       368.8387458272       274.9386978681  	                   -28.45221             3.307152 
