 ID  Temp   Pres     Molec_cm3overcm3        Molec_fluc                           Heat_of_Ads     Heat_fluc
 11130 298  10000     
 12695 298  10000     
 2068 298  10000     
 13320 298  10000       136.5315443361         0.4206780450  	                   -46.80251            10.248330 
 6172 298  10000     
 6502 298  10000       144.1892177135         0.9753830335  	                   -41.29789            12.134881 
 1875 298  10000         6.5691664081         0.3025093233  	                    -9.47202             0.839692 
 5455 298  10000       143.9440406395         1.6291351496  	                   -37.65140             6.649406 
 6812 298  10000         4.9992654871         0.4597134333  	                    -8.44095             1.336783 
 13487 298  10000       139.4033706516         0.9648281352  	                   -37.74108             5.303769 
 5845 298  10000       128.6816446071         0.7123070262  	                   -40.88620             9.984095 
 7993 298  10000       133.3107739568         1.5102425807  	                   -44.21041             6.894377 
 11781 298  10000       131.0395628636         1.3380651914  	                   -48.51863             8.033695 
 12779 298  10000        45.1006066200         0.7495005012  	                   -17.39541             2.291591 
 6322 298  10000        10.4234777769         0.6362456611  	                    -9.51411             1.108334 
 1777 298  10000       142.6328584878         1.7062815392  	                   -41.67759             9.642289 
 2131 298  10000       146.0465366558         1.0254279787  	                   -40.19215             5.641756 
 7514 298  10000        21.9204346548         4.2716039534  	                   -12.40748             1.261475 
 1672 298  10000        15.9848295718         0.1711212370  	                   -12.05805             1.500133 
 5067 298  10000       144.8166126915         1.5406088929  	                   -37.09874             2.966959 
 967 298  10000       135.6626712767         1.1732510067  	                   -39.30432            17.764129 
 7223 298  10000       142.6832144394         1.1973788216  	                   -43.57719            11.326018 
 8302 298  10000       134.3267250441        20.3013711500  	                   -25.90694            18.329965 
 8349 298  10000       144.9277874156         0.6783520579  	                   -37.42354             9.456916 
 10162 298  10000        27.9942060075         0.5171858756  	                   -14.65520             2.440752 
 1172 298  10000       112.8804156613         0.4659029032  	                   -39.80685            15.107212 
 1836 298  10000       141.7696877868         0.9885465545  	                   -45.32284            10.392071 
 5963 298  10000        88.3812671924         0.8942936960  	                   -21.81720            70.142856 
 6112 298  10000       135.9861298119         1.4560365644  	                   -51.42347             8.244729 
 6350 298  10000       125.7022144458         0.9298501890  	                   -40.10342            14.784449 
 1293 298  10000        70.1674466483         0.4945413492  	                   -20.13851             7.661225 
 2696 298  10000       132.5309961536         1.4269006529  	                   -45.50266             9.686702 
 5207 298  10000       140.7685563245         0.4690905499  	                   -42.43872             7.439814 
 805 298  10000       116.6255040033         0.5988696666  	                   -38.03540             7.319415 
 9177 298  10000       142.6100442636         0.9895384329  	                   -37.72500             3.359993 
 9892 298  10000        12.1382684576         1.0995078277  	                   -11.59592             0.549012 
 10336 298  10000        29.4744546338         0.5126330196  	                   -14.41133             2.174634 
