ID	Temp	Pres	Molec_cm3overcm3
1010	298	20000	145.6318854
1071	298	20000	99.58169524
10947	298	20000	148.8267369
11020	298	20000	149.905348
11082	298	20000	146.9944403
1376	298	20000	142.140533
2226	298	20000	148.2698459
2864	298	20000	95.14331892
3122	298	20000	127.5756746
37	298	20000	144.7781541
3977	298	20000	113.4549796
4200	298	20000	42.45372554
4691	298	20000	150.1949059
5343	298	20000	129.0977275
618	298	20000	150.0159403
651	298	20000	4.897217607
6988	298	20000	7.21494028
7318	298	20000	153.9933881
8293	298	20000	143.9685986
8318	298	20000	
9197	298	20000	116.6687298
9390	298	20000	102.6535023
9638	298	20000	123.573383
9660	298	20000	145.0956931
10968	298	20000	133.2546021
11546	298	20000	138.7761701
11640	298	20000	123.5783181
11705	298	20000	146.6325338
11829	298	20000	133.8656112
12382	298	20000	
1714	298	20000	18.81429711
2066	298	20000	22.03577745
2672	298	20000	73.27241257
2755	298	20000	143.7777812
3253	298	20000	107.6632257
3582	298	20000	41.51532623
36	298	20000	143.7176426
4133	298	20000	108.476395
4842	298	20000	152.869787
5014	298	20000	119.8231067
5329	298	20000	134.3743113
5698	298	20000	138.3585184
5939	298	20000	139.3164569
6034	298	20000	143.4339002
701	298	20000	6.605135434
7762	298	20000	151.4700259
8781	298	20000	139.7671348
9085	298	20000	134.0600705
10031	298	20000	153.2935063
11100	298	20000	130.6092236
12243	298	20000	46.87278876
13210	298	20000	58.07546556
1728	298	20000	
1734	298	20000	18.36714442
1889	298	20000	151.0780995
1917	298	20000	34.54838851
1972	298	20000	7.27390687
3040	298	20000	148.1860258
3438	298	20000	128.4796174
3859	298	20000	
4088	298	20000	106.4944902
4306	298	20000	146.9164348
4708	298	20000	149.1752453
5618	298	20000	151.985306
6017	298	20000	105.080449
7197	298	20000	46.4480107
8508	298	20000	151.6605858
8743	298	20000	127.0765596
8763	298	20000	127.3110345
931	298	20000	136.0978162
9635	298	20000	107.3417291
9639	298	20000	124.00574
10095	298	20000	146.8031955
10315	298	20000	140.9775326
10950	298	20000	150.026247
11592	298	20000	123.2426504
12266	298	20000	146.7688614
12621	298	20000	138.648494
168	298	20000	126.5813337
1908	298	20000	
1932	298	20000	148.6906063
1999	298	20000	149.4778711
2764	298	20000	83.91782774
3132	298	20000	136.3311663
3224	298	20000	135.9400493
3583	298	20000	22.05542551
3729	298	20000	32.84305445
4182	298	20000	126.5725867
4207	298	20000	148.3771677
4655	298	20000	151.3078557
5657	298	20000	146.068633
5827	298	20000	96.97425288
6268	298	20000	152.0016427
6475	298	20000	149.2611365
6865	298	20000	9.873314319
9317	298	20000	125.8718454
1041	298	20000	92.97219718
1072	298	20000	142.0640848
11215	298	20000	141.0049102
11245	298	20000	152.7459911
11331	298	20000	143.6315157
11440	298	20000	153.9937515
11864	298	20000	149.5729976
12591	298	20000	101.8437526
13260	298	20000	49.0192995
13322	298	20000	141.899082
207	298	20000	132.5238938
3370	298	20000	134.3469075
4248	298	20000	146.3963189
4773	298	20000	141.5337922
4850	298	20000	153.7452185
4908	298	20000	67.54262926
6016	298	20000	115.0471843
6460	298	20000	147.3735181
7142	298	20000	148.9954732
8397	298	20000	150.2659102
8682	298	20000	134.3453937
9287	298	20000	146.7370288
9391	298	20000	88.5214927
947	298	20000	113.0504916
10155	298	20000	139.3216793
11111	298	20000	125.0921046
12555	298	20000	128.2121136
13440	298	20000	149.7493722
2498	298	20000	132.9112416
2712	298	20000	143.1535286
3112	298	20000	117.4722029
3204	298	20000	107.373094
3542	298	20000	90.08883227
3842	298	20000	134.9072352
3933	298	20000	139.4755134
4434	298	20000	142.8261532
5984	298	20000	122.9801256
6225	298	20000	151.5194595
6422	298	20000	145.8784669
721	298	20000	47.39769179
7272	298	20000	151.5293908
75	298	20000	132.3753867
8357	298	20000	150.9646423
8484	298	20000	134.8152196
8980	298	20000	133.7310364
9345	298	20000	59.48647862
9806	298	20000	154.6057255
9849	298	20000	154.8760543
10076	298	20000	42.47158566
10988	298	20000	138.212325
110	298	20000	88.65782527
12783	298	20000	132.0956244
12821	298	20000	149.9827619
12975	298	20000	123.67506
13342	298	20000	151.0741405
1781	298	20000	22.49461212
20	298	20000	132.7537597
2160	298	20000	26.79869095
2162	298	20000	15.5764467
3849	298	20000	131.7557712
4464	298	20000	152.393552
4885	298	20000	68.29343317
4989	298	20000	131.6110147
5107	298	20000	131.5637751
6346	298	20000	128.888396
7237	298	20000	150.1864827
7385	298	20000	37.47189138
7866	298	20000	13.01550178
7879	298	20000	110.5782947
8681	298	20000	133.8220249
9235	298	20000	150.0625898
9612	298	20000	149.1189202
11140	298	20000	152.1963625
112	298	20000	110.9331736
12287	298	20000	
12635	298	20000	68.51430432
12855	298	20000	145.2848563
13205	298	20000	65.2359739
13339	298	20000	132.9089584
1886	298	20000	148.5134434
234	298	20000	42.27201729
2502	298	20000	128.9990373
2516	298	20000	143.2175819
2569	298	20000	139.7900022
2767	298	20000	91.93594571
3636	298	20000	89.45713683
7128	298	20000	144.5700829
755	298	20000	149.4562976
8368	298	20000	153.5742285
8577	298	20000	90.10934871
8752	298	20000	
8777	298	20000	138.1249054
8832	298	20000	133.5393077
9630	298	20000	130.5588522
9670	298	20000	148.4769733
10234	298	20000	26.68143489
12283	298	20000	137.0919948
12572	298	20000	143.055122
12661	298	20000	140.4558244
12707	298	20000	142.1919811
12777	298	20000	54.35932623
13010	298	20000	150.6959446
13280	298	20000	123.2490522
2997	298	20000	147.2333869
3230	298	20000	137.1400045
3529	298	20000	
3896	298	20000	140.9015454
5797	298	20000	136.5826402
5963	298	20000	89.19019303
6309	298	20000	141.9997899
7192	298	20000	151.753614
7259	298	20000	145.7913368
7469	298	20000	47.99093858
7591	298	20000	121.9985085
7972	298	20000	99.16952851
899	298	20000	126.2044316
9093	298	20000	96.53592958
9786	298	20000	151.2790431
9838	298	20000	153.9779907
10153	298	20000	136.539458
10333	298	20000	18.47880666
11438	298	20000	152.628208
11856	298	20000	149.2603281
13017	298	20000	151.7817153
13121	298	20000	132.1046407
13397	298	20000	152.5633501
1992	298	20000	148.3898194
2236	298	20000	146.5399824
2287	298	20000	153.0451318
2354	298	20000	141.6577005
2725	298	20000	116.5964494
4020	298	20000	0
4289	298	20000	130.0349143
4583	298	20000	149.8712909
4782	298	20000	146.0287358
5033	298	20000	124.2673521
5436	298	20000	121.1654936
5555	298	20000	150.3604121
6888	298	20000	150.8374067
7113	298	20000	0
8622	298	20000	109.7332961
9001	298	20000	142.9947672
9967	298	20000	149.2116778
11501	298	20000	137.8024995
11633	298	20000	85.62922365
12551	298	20000	97.03457248
13134	298	20000	144.0308289
13334	298	20000	149.1854575
160	298	20000	123.406363
1713	298	20000	152.4099174
1996	298	20000	149.2969531
2921	298	20000	124.353444
3172	298	20000	139.1084203
3299	298	20000	104.3370079
3796	298	20000	
4049	298	20000	127.0082033
4500	298	20000	149.9517149
4540	298	20000	150.1337515
4706	298	20000	134.8378248
5248	298	20000	88.05800752
6355	298	20000	108.2768949
6905	298	20000	154.2986144
6986	298	20000	152.9133478
7389	298	20000	144.011021
857	298	20000	105.6034889
8628	298	20000	127.5394802
9604	298	20000	147.4123664
11295	298	20000	11.16392039
11768	298	20000	151.0403093
11865	298	20000	150.1672146
1330	298	20000	88.13046318
1942	298	20000	150.5132952
203	298	20000	119.1139212
2283	298	20000	152.4702265
2361	298	20000	83.14317348
2581	298	20000	143.7695534
2845	298	20000	143.0735581
3095	298	20000	146.4569981
3368	298	20000	131.8815842
3489	298	20000	0
4301	298	20000	142.1817329
5600	298	20000	149.5225196
7195	298	20000	153.2222425
727	298	20000	6.52193682
7858	298	20000	155.1160452
817	298	20000	140.6810564
8244	298	20000	133.6342033
8691	298	20000	139.3380965
9238	298	20000	63.03164811
9441	298	20000	75.15513611
9794	298	20000	152.2169071
1275	298	20000	125.7004811
13143	298	20000	148.5475858
13312	298	20000	113.0634093
2774	298	20000	105.8200815
3566	298	20000	136.6703057
4051	298	20000	129.5231446
4382	298	20000	22.43177727
4825	298	20000	149.2639485
5011	298	20000	138.5710711
5164	298	20000	143.5926938
5300	298	20000	137.5912255
5926	298	20000	117.9538381
6119	298	20000	148.5019351
665	298	20000	151.1810781
7724	298	20000	154.2158563
8490	298	20000	143.9755824
8598	298	20000	137.0960895
8906	298	20000	142.7723663
9330	298	20000	100.3094412
9374	298	20000	141.4145476
9429	298	20000	52.81823927
9518	298	20000	147.5190012
