ID Temp Pres Molec_cm3overcm3 Molec_fluc Mol_kg Mill_gram Cm3_gram Heat_of_Ads Heat_fluc
 3268 273  100000         5.5129674472         0.0957095944         0.6910824661        57.9127106586        15.4899056346  	                    -8.81192             0.221714 
 4884 273  100000         3.7589956319         0.0683652719         0.9019846675        75.5863151383        20.2170624625  	                    -8.19456             0.137845 
 620 273  100000         3.1636322689         0.0561382821         1.0732351146        89.9371026060        24.0554658308  	                    -7.64765             0.149342 
 12897 273  100000         5.3389533544         0.1005612811         1.1732036279        98.3144640200        26.2961576633  	                   -10.82019             0.357417 
 2869 273  100000         9.1077532542         0.2441107202         0.7747926027        64.9276201088        17.3661826070  	                   -11.14122             0.204373 
 9506 273  100000         4.6611088545         0.1348356197         0.7548250131        63.2543360972        16.9186295372  	                    -9.69165             0.351940 
 10244 273  100000         7.8117551169         0.2522253230         1.0574166400        88.6115144345        23.7009109247  	                   -14.26861             1.032892 
 4061 273  100000         0.0870130482         0.0467472571         0.0025304851         0.2120546550         0.0567182326  	                   -18.21828             0.410319 
 7237 273  100000         3.1958126423         0.0493119303         0.8818208076        73.8965836807        19.7651101963  	                    -7.76235             0.229575 
 4644 273  100000         2.9676212857         0.0891635076         0.7094188395        59.4492987494        15.9008966633  	                    -7.36579             0.168482 
 6590 273  100000         2.5764815667         0.0439839873         0.7256005067        60.8053224577        16.2635921586  	                    -6.47257             0.035845 
 7374 273  100000         2.3474398559         0.0810080845         1.0890834885        91.2651963382        24.4106908989  	                    -6.48132             0.103381 
 10945 273  100000         4.0173634892         0.0622938968         0.9595077325        80.4067479812        21.5063830453  	                    -8.77675             0.216749 
 1556 273  100000         2.9230613910         0.0819914063         0.4445632701        37.2544020311         9.9644303534  	                    -6.79204             0.046200 
 8312 273  100000         2.3905404886         0.0269604542         0.8064138900        67.5774839861        18.0749413741  	                    -6.37409             0.186096 
 7529 273  100000         2.2455359710         0.0413366045         1.1262992071        94.3838735577        25.2448431132  	                    -6.49621             0.141518 
 8166 273  100000         5.3585401952         0.0670816051         0.9943238230        83.3243363704        22.2867500548  	                    -9.93348             0.109988 
 9114 273  100000         3.4088288241         0.0761506964         0.5666453501        47.4848803424        12.7007751357  	                    -7.89639             0.130837 
 13379 273  100000         7.1207924891         0.3037594156         1.4606137250       122.3994301542        32.7381606085  	                   -11.15993             0.089180 
 5554 273  100000         3.0425235305         0.1094823368         0.6744432451        56.5183439388        15.1169545386  	                    -7.46079             0.205776 
         
 10661 273  100000         1.4426646206         0.0233165029         1.6607704555       139.1725641691        37.2244687114  	                    -4.32624             0.132973 
 11380 273  100000         3.2681791133         0.0359368868         0.8661067869        72.5797487405        19.4128965159  	                    -7.55961             0.248528 
 4100 273  100000        10.4825227724         0.1524247182         1.5291733974       128.1447306980        34.2748554421  	                   -12.08002             0.373605 
 11757 273  100000         3.1291253906         0.1262181338         0.7230819456        60.5942670386        16.2071411915  	                    -7.71739             0.131314 
 5553 273  100000         3.8038830839         0.1168629725         0.8814944340        73.8692335677        19.7577948649  	                    -8.53005             0.151703 
 6326 273  100000         2.7320338370         0.0498012708         0.8504562735        71.2682357225        19.0621062895  	                    -6.86710             0.180687 
 3762 273  100000        98.1658859994         1.0963791543         6.8656507116       575.3415296308       153.8865285409  	                   -20.14590             0.536105 
 6875 273  100000         7.6334508628         0.1006481601         0.7907260296        66.2628412794        17.7233140502  	                   -10.26690             0.146587 
 9101 273  100000         6.2994989882         0.1515402316         0.8659709012        72.5683615205        19.4098507776  	                   -10.41655             0.167283 
 11551 273  100000         6.9364064236         0.1637808727         0.6953110536        58.2670662935        15.5846850929  	                   -10.95130             0.249017 
 6626 273  100000         1.5524948728         0.0389932855         1.2911580260       108.1990425801        28.9399846814  	                    -4.56440             0.142367 
 9023 273  100000        41.1947167142         1.0009970411         1.9384336564       162.4407404042        43.4480049623  	                   -17.86545             0.292605 
 11885 273  100000         2.5860667081         0.0778868985         0.5800868419        48.6112773521        13.0020524061  	                    -6.83813             0.221266 
 7689 273  100000         5.8906681084         0.0866846747         0.7151465415        59.9292801806        16.0292772379  	                    -8.95843             0.084680 
 9596 273  100000         8.9016937185         0.1815062161         0.7021515903        58.8403032641        15.7380087153  	                   -12.37299             0.206790 
 10638 273  100000         1.6559276802         0.0360770481         1.0038203872        84.1201484444        22.4996058129  	                    -4.93652             0.100712 
 781 273  100000         1.8728477855         0.0409656170         1.2366022836       103.6272713631        27.7171735933  	                    -5.55524             0.056037 
 8123 273  100000         6.3358208742         0.1580368623         0.6993948454        58.6092880473        15.6762191035  	                   -10.13392             0.149910 
 12564 273  100000        10.6342320429         0.5492626890         1.4958635318       125.3533639683        33.5282489244  	                   -12.54542             0.210517 
 5299 273  100000        30.8224818738         0.2415696236         1.5753978601       132.0183406805        35.3109294302  	                   -19.00166             0.650263 
