ID Temp Pres Molec_cm3overcm3 Molec_fluc Mol_kg Mill_gram Cm3_gram Heat_of_Ads Heat_fluc
 10305 298  500000        45.0077068175         0.3892859011        15.2680483086       673.2540563596       342.2176645030  	                   -11.74383             0.550915 
 10341 298  500000       138.9467765571         3.8641122537        12.5583863133       553.7698306845       281.4833662552  	                   -16.20908             0.509355 
 11810 298  500000        77.8820880890         0.8350288221        27.8960560783      1230.0938883284       625.2615243930  	                   -14.13915             0.529492 
 13115 298  500000        72.1497634397         1.1330942450        26.3412097174      1161.5319740384       590.4112357679  	                   -14.46924             0.731603 
 13513 298  500000       164.1881543846         1.2196224342        11.2172918605       494.6334393102       251.4241077152  	                   -35.69607             2.451735 
 1436 298  500000       148.9153046998         0.8186769714         7.5108410897       331.1951945717       168.3478100285  	                   -24.92508             1.925160 
 147 298  500000       137.7310405195         0.8939858178         5.9591961435       262.7744486504       133.5692778362  	                   -34.54739             3.795360 
 162 298  500000       188.9240307810         0.7803680777        15.5639377673       686.3014854920       348.8497236540  	                   -30.59758             3.623838 
 1811 298  500000        28.5440799078         0.4505924157        15.3647829454       677.5196301435       344.3858723056  	                    -8.53204             0.416698 
 2137 298  500000       106.3451547304         2.0692020213        37.3937304884      1648.8997299982       838.1421682787  	                   -13.11242             0.327604 
 2219 298  500000       206.1663674365         1.7717501220        43.0021632754      1896.2070509690       963.8494447484  	                   -26.56562             0.878216 
 2242 298  500000        83.7693142682         3.7327458140        30.2134908602      1332.2826118431       677.2044513897  	                   -12.68391             0.340122 
 2313 298  500000       207.5782381033         0.9294087013        52.8543795058      2330.6466340250      1184.6767803978  	                   -24.53667             0.966724 
 2633 298  500000       134.0847140168         0.6225416251         5.6405743088       248.7246213012       126.4276957592  	                   -36.68192             3.872413 
 3360 298  500000       190.8601361187         0.6232586602        15.7348039352       693.8359350989       352.6795137956  	                   -35.77357             3.573246 
 5137 298  500000        90.8995224998         1.7005031428        26.3813133110      1163.3003668631       591.3101167425  	                   -13.26340             0.344316 
 5285 298  500000        77.7973515091         1.8231633850        28.8355353750      1271.5208103908       646.3189905632  	                   -12.37169             0.235725 
 5742 298  500000       183.3930181744         0.8117950856        14.3223709814       631.5538282970       321.0212758262  	                   -26.35566             1.645028 
 6006 298  500000       198.6032818533         0.3297326099        25.4568648693      1122.5362396659       570.5895517892  	                   -24.11236             1.361755 
 6209 298  500000       210.3175373066         0.7572611729        33.6144491248      1482.2499751171       753.4334474523  	                   -29.53536             1.743697 
 7635 298  500000       175.2783502402         2.0289571860         5.5529496964       244.8607596922       124.4636798230  	                   -39.54830             9.824866 
 7877 298  500000       158.2587490088         0.5551273521         8.3909407073       370.0037328705       188.0743415123  	                   -35.66444             3.274551 
 8240 298  500000       160.7411106451         1.7566093604        27.4224693277      1209.2107869356       614.6465624500  	                   -17.16232             0.673081 
 8822 298  500000       146.4623890103         1.0593032558         6.8875920608       303.7126422277       154.3783214099  	                   -33.96278             4.373491 
 11353 298  500000       172.8297723412         1.8072941462        13.1153311330       578.3286578151       293.9667139368  	                   -33.44097             2.048130 
 13433 298  500000       135.9567389498         1.4432850256        30.6592266979      1351.9376099652       687.1951636471  	                   -15.95282             1.295278 
 2688 298  500000       198.6323753680         0.5255076726        19.7740594633       871.9494119514       443.2152892420  	                   -33.02246             2.125520 
 3247 298  500000       137.5506854177         1.2972440385         6.6180877982       291.8286846743       148.3376594034  	                   -38.99959            10.049014 
 3394 298  500000       189.3593058860         0.1730167560        19.0592830498       840.4309028348       427.1943080439  	                   -26.34283             1.425243 
 3956 298  500000        94.9172457431         0.8119789225        22.8412826184      1007.2005186546       511.9639546532  	                   -13.44830             0.795956 
 4450 298  500000       204.5558263442         0.5970083041        52.6371794914      2321.0690647250      1179.8084645421  	                   -23.22138             0.788294 
 4857 298  500000       178.9364981264         1.3437395728        13.2583228532       584.6339663732       297.1717268860  	                   -37.03233             7.987434 
 5363 298  500000        63.9927918223         3.7582785006        19.9744067499       880.7838497678       447.7058684642  	                   -11.96022             0.192472 
