 ID  Temp   Pres     Molec_cm3overcm3        Molec_fluc                           Heat_of_Ads     Heat_fluc
 11962 298  1e+06        23.8807675360         0.3043674701  	                    -7.28694             0.345834 
 548 298  1e+06        26.1039201310         0.7783709187  	                    -7.91975             0.477346 
 5727 298  1e+06       187.3487521764         1.3243660958  	                   -27.77644             1.159266 
 11457 298  1e+06       123.4057178590         1.9198502871  	                   -14.11000             0.304559 
 11905 298  1e+06        50.5133159270         0.5439042926  	                   -10.27592             0.130980 
 6958 298  1e+06        39.8300613880         0.6769056984  	                    -9.57909             0.368767 
 12562 298  1e+06       193.5280843300         0.8795693337  	                   -20.80805             0.694408 
 13002 298  1e+06        87.7612045102         0.8990449486  	                   -13.62773             0.201907 
 4480 298  1e+06       217.9112100930         0.3494588139  	                   -24.86533             0.530753 
 2211 298  1e+06       215.6632333371         0.9943298380  	                   -23.16263             0.557877 
 6277 298  1e+06       146.5368289892         1.2336931231  	                   -15.14378             0.389556 
 8421 298  1e+06        31.5193788767         0.5056245387  	                    -8.51246             0.255972 
 2439 298  1e+06        50.0373841181         0.9931680768  	                    -9.98727             0.333443 
 38 298  1e+06        89.7525233422         1.2036554471  	                   -12.29239             0.213084 
 5445 298  1e+06       188.8749789057         1.4525302168  	                   -18.21280             0.124173 
 4649 298  1e+06       212.1691613529         0.8920296674  	                   -23.93002             0.257859 
 7761 298  1e+06        48.4199759229         0.4578435224  	                    -9.67927             0.322404 
 7855 298  1e+06        50.3088237353         0.6666337105  	                   -10.86850             0.161714 
 1218 298  1e+06       145.9432196104         1.0342366611  	                   -16.82523             0.481050 
 6458 298  1e+06       112.3393227347         1.2475616640  	                   -13.24280             0.371596 
 6791 298  1e+06        58.5663604685         0.6702265073  	                   -10.45120             0.234072 
 13170 298  1e+06       170.8921343911         1.1447666288  	                   -16.96359             0.543272 
 2677 298  1e+06       176.3563376038         0.7151825948  	                   -26.85016             0.782091 
 4693 298  1e+06       212.7844282329         0.2544018861  	                   -21.96187             0.379971 
 11388 298  1e+06       184.4204871631         1.6800991354  	                   -18.86391             0.458034 
 2281 298  1e+06        56.6674057675         0.8772064201  	                   -10.80188             0.310770 
 981 298  1e+06       134.2322309302         0.6300185564  	                   -15.94602             0.382184 
 132 298  1e+06       230.5634044904         0.6340430901  	                   -25.18293             0.419164 
 13432 298  1e+06       103.1075881817         1.6461242798  	                   -14.06449             0.631240 
 9906 298  1e+06        24.3870692772         0.4462102512  	                    -7.33078             0.207185 
 1015 298  1e+06       133.7996993321         1.1211363459  	                   -16.08901             0.472810 
 11901 298  1e+06        21.0609330823         0.1891019765  	                    -6.50478             0.214419 
 12374 298  1e+06        40.0691006381         0.3372798456  	                    -9.64543             0.412699 
 11670 298  1e+06        63.8582383009         0.6555457361  	                   -11.89785             0.317910 
 2227 298  1e+06        99.0585074107         0.8020152040  	                   -12.65618             0.250554 
 5061 298  1e+06        77.1127612949         2.0586864132  	                   -11.92888             0.206866 
 2989 298  1e+06        73.4942589782         1.9591131812  	                   -11.47434             0.333625 
 9433 298  1e+06        37.9639753618         0.1789060554  	                    -9.11419             0.214057 
 999 298  1e+06       165.6774046541         2.3051273012  	                   -18.06580             1.145970 
 11139 298  1e+06        88.2029905725         0.3104856949  	                   -12.91327             0.125566 
 11324 298  1e+06        86.2501360152         1.8943248821  	                   -12.58412             0.371554 
 4330 298  1e+06        53.4123091731         0.7476514401  	                   -10.79166             0.420371 
 2379 298  1e+06       164.7245161159         2.0532742582  	                   -27.71414             0.993557 
 2496 298  1e+06       180.9671564334         2.3829550706  	                   -18.00467             0.459373 
 8197 298  1e+06        73.0032265271         0.7242022034  	                   -12.06287             0.326689 
 10140 298  1e+06        17.6120491287         0.0787003858  	                    -6.64843             0.409788 
 3099 298  1e+06       102.3572077620         0.8631802636  	                   -31.08212             1.511118 
 5344 298  1e+06       125.4129484564         0.8330528951  	                   -28.71037             0.801503 
 11044 298  1e+06        42.6380398838         0.5507842004  	                   -10.20734             0.244588 
 3274 298  1e+06       204.3970154256         1.4854791489  	                   -19.66462             0.528165 
 4899 298  1e+06        36.3222600205         0.5768070658  	                    -8.85600             0.220785 
 1144 298  1e+06       153.6074825818         0.9558356905  	                   -17.47557             0.503640 
 1342 298  1e+06        71.1033996702         0.7469481912  	                   -12.96064             0.356657 
      
 11289 298  1e+06        39.0330029071         0.6087470169  	                    -9.36614             0.139339 
 13274 298  1e+06       102.4162893630         0.8996694196  	                   -13.90923             0.321860 
 3485 298  1e+06       217.9294232376         0.7034789714  	                   -25.27147             1.153279 
 10527 298  1e+06        43.4189299830         1.3408300950  	                    -9.25860             0.098028 
 2526 298  1e+06        66.4669503864         1.4699348919  	                   -11.57139             0.217759 
 3912 298  1e+06        40.6546795483         0.3410548289  	                    -9.42161             0.245524 
 13235 298  1e+06        90.4408645326         0.8571194405  	                   -14.01081             0.426367 
 7325 298  1e+06        44.7497232607         1.9757149962  	                   -10.14564             0.214910 
 9627 298  1e+06       128.3598498679         1.7371025991  	                   -14.14519             0.318039 
 10024 298  1e+06        34.1108747329         0.5658743808  	                    -8.69140             0.297155 
 2338 298  1e+06        38.4297724112         0.8631529850  	                    -9.10114             0.162701 
 4090 298  1e+06       219.0037995853         0.5949928563  	                   -27.67855             1.198367 
 12678 298  1e+06       165.4260641361         1.0511432105  	                   -18.91768             0.402493 
 12957 298  1e+06        93.9561098385         0.8102822012  	                   -13.74509             0.522212 
 4315 298  1e+06       220.2283959115         0.5316765975  	                   -28.28294             1.280137 
 12752 298  1e+06       134.3001703940         0.9590136096  	                   -15.25221             0.305434 
 6706 298  1e+06        32.0878937415         0.3830869052  	                    -8.69461             0.370661 
 8013 298  1e+06       138.6970945825         1.1225610566  	                   -21.36563             0.529670 
 12413 298  1e+06        84.6766639911         1.8538274872  	                   -12.84637             0.458267 
 12649 298  1e+06       107.5436826861         0.8092410356  	                   -14.04114             0.800700 
 1884 298  1e+06        94.9587655745         0.8238141990  	                   -12.38507             0.199162 
 11259 298  1e+06       192.7675482901         0.8131444613  	                   -24.44146             0.751071 
 12187 298  1e+06       195.7243140519         0.9241092482  	                   -22.13154             0.707730 
 7134 298  1e+06        77.9902910566         0.8476826107  	                   -11.78712             0.268276 
 1935 298  1e+06        81.4550595123         1.8709404680  	                   -12.07608             0.420518 
 4071 298  1e+06       178.9093336818         1.0226324597  	                   -33.40384             1.649430 
 9760 298  1e+06        29.0881533203         0.5119035768  	                    -8.02889             0.194649 
 3264 298  1e+06       214.2890618420         0.6263961700  	                   -21.47693             0.851872 
 6808 298  1e+06        28.4273570268         0.6816133111  	                    -7.83687             0.191104 
 9253 298  1e+06       186.7456831170         1.4614811006  	                   -19.18316             0.507029 
 12192 298  1e+06        38.7384914306         0.4041728604  	                    -9.23357             0.281842 
 6015 298  1e+06       119.4550566573         0.7218039122  	                   -31.76122             2.720331 
 6407 298  1e+06       206.5948370502         1.1273995670  	                   -19.41900             0.290177 
 10517 298  1e+06        19.9407761387         0.5054275776  	                    -6.75731             0.185639 
 11428 298  1e+06        74.8771272450         0.8892412692  	                   -11.90445             0.218140 
 567 298  1e+06       135.1106307969         0.8439762186  	                   -14.73086             0.439289 
 11028 298  1e+06        61.2919706749         0.3292182502  	                   -11.61909             0.296733 
 2 298  1e+06       174.6748827330         1.7923227681  	                   -28.11748             1.499417 
 4051 298  1e+06       191.9522367724         1.7438180593  	                   -20.16547             0.410612 
 2100 298  1e+06        49.5067945200         1.1709158342  	                   -10.35834             0.200634 
 4619 298  1e+06       177.8844598573         0.2411643141  	                   -17.13207             0.299745 
 914 298  1e+06       112.6311221677         0.5407851581  	                   -15.39611             0.557416 
 11358 298  1e+06       194.1498302166         1.8159698957  	                   -18.46377             0.558480 
 12830 298  1e+06        41.2358342115         0.7608107090  	                   -10.28443             0.589575 
 2954 298  1e+06        68.8001240518         0.5211118681  	                   -11.79537             0.323701 
 368 298  1e+06        20.0376422630         0.2335092153  	                    -6.63407             0.593782 
 4521 298  1e+06       220.4391026455         1.9652774121  	                   -25.53596             0.668107 
 9654 298  1e+06        98.9937288836         1.1887808163  	                   -13.64020             0.256625 
 187 298  1e+06       104.3606482544         1.3912181138  	                   -33.21046             1.511259 
 2149 298  1e+06        38.1809012514         0.9778987266  	                    -9.00919             0.278723 
 6976 298  1e+06        53.3180977417         2.1516877808  	                    -9.72303             0.232466 
 10960 298  1e+06        60.6718945975         1.1689321887  	                   -11.67864             0.389692 
 2980 298  1e+06        86.8530404734         1.0951255732  	                   -12.21837             0.047299 
 7661 298  1e+06        70.9747001324         0.7861199964  	                   -11.21793             0.157897 
 2166 298  1e+06       182.8591397915         1.0958709665  	                   -17.47162             0.234902 
 5793 298  1e+06       135.8126777151         1.8035054520  	                   -15.64541             0.137679 
 6386 298  1e+06        42.9377949363         0.3991227723  	                    -9.48123             0.294165 
 10621 298  1e+06        15.4538312923         0.1348677742  	                    -5.21562             0.257079 
 2540 298  1e+06        46.6817801212         0.5487829950  	                   -10.39930             0.291599 
 7850 298  1e+06        56.2821558623         1.3091106319  	                   -11.07128             0.268906 
 4753 298  1e+06        63.3725889902         0.3238363136  	                   -10.99943             0.413068 
 7512 298  1e+06        57.6617042978         1.0389564329  	                   -11.18264             0.616289 
 9279 298  1e+06       111.4219419641         2.1272027592  	                   -14.01914             0.620741 
 3659 298  1e+06       196.7274570820         0.9024183775  	                   -18.55546             0.412779 
 6424 298  1e+06        86.8740099983         1.2564531550  	                   -11.86778             0.308840 
 6905 298  1e+06        44.4370577677         0.3530485829  	                    -9.60577             0.411182 
 12960 298  1e+06        61.2043505521         1.0209841626  	                   -12.45083             0.388011 
 4286 298  1e+06        35.9432224937         0.3855145295  	                    -9.00936             0.301615 
 6867 298  1e+06       192.8553340823         1.1547544984  	                   -27.91661             2.108605 
 11793 298  1e+06        97.9026658961         0.6152631822  	                   -14.11729             0.282646 
 12764 298  1e+06        57.3643183028         0.6680788997  	                   -11.82898             0.312757 
 13487 298  1e+06       140.6633735577         0.9948048023  	                   -15.39209             1.032134 
 1117 298  1e+06       127.2905241116         0.8484887984  	                   -16.08023             0.435641 
 6081 298  1e+06        43.5454319414         0.5404055979  	                    -9.48414             0.258602 
 9228 298  1e+06       186.2816563410         1.6379437828  	                   -20.65656             0.299487 
 12074 298  1e+06        60.4538826048         0.8151036176  	                   -11.39840             0.416452 
 5934 298  1e+06       214.0876551784         0.8063286329  	                   -21.75941             0.800118 
 725 298  1e+06        36.9630619374         0.8532784604  	                    -9.41601             0.109912 
 12829 298  1e+06        37.6721704719         0.4679652408  	                    -9.73388             0.365063 
 5452 298  1e+06       106.4447777842         2.6554114600  	                   -13.16892             0.380032 
 8379 298  1e+06       147.8107401769         1.7068547622  	                   -15.69559             0.229510 
 1087 298  1e+06        50.8269760072         0.2737957927  	                   -10.97071             0.366525 
 12049 298  1e+06        65.0503330319         0.4674338466  	                   -11.42422             0.181476 
 7194 298  1e+06        33.7390516478         0.8910505367  	                    -8.36523             0.271275 
 11476 298  1e+06        62.9465091769         1.0481263711  	                   -11.36423             0.539039 
 1911 298  1e+06        29.4574252978         0.2898047375  	                    -8.09800             0.209230 
 4419 298  1e+06        40.2355626700         0.4179426325  	                    -9.26138             0.236679 
 11600 298  1e+06       100.1556799226         0.8734702778  	                   -14.03850             0.479209 
 4661 298  1e+06        38.3636812190         0.3955197427  	                    -9.31332             0.303825 
 8774 298  1e+06       198.7347857165         0.5724460429  	                   -18.98025             0.548573 
 10023 298  1e+06        40.7197507546         0.4028001544  	                    -9.50710             0.263778 
 11619 298  1e+06       101.6405150392         0.9796914110  	                   -14.61591             0.151444 
 13049 298  1e+06        90.2511438167         0.5557070553  	                   -13.76643             0.159952 
 10232 298  1e+06        32.1235608594         0.3408079605  	                    -9.58628             0.503164 
 2911 298  1e+06       203.5375849691         0.9166095867  	                   -27.24686             1.695408 
 3718 298  1e+06        63.6055437146         0.2050173564  	                   -11.54669             0.256614 
 453 298  1e+06        95.6728010527         1.1197895181  	                   -13.01669             0.321283 
 559 298  1e+06        75.8128729224         0.4126881639  	                   -12.34190             0.334354 
 7625 298  1e+06        53.0968972278         1.4316755725  	                   -10.19547             0.363580 
 3542 298  1e+06       180.0727016665         2.0262311269  	                   -33.72723             1.144091 
 3701 298  1e+06       114.2825448852         0.6268774882  	                   -13.93222             0.661114 
 4972 298  1e+06       135.8679058154         1.4647612111  	                   -14.21468             0.299865 
 12958 298  1e+06        73.6005068803         1.3778651619  	                   -13.26998             0.193983 
 2531 298  1e+06        76.7221686537         1.0139160542  	                   -12.19719             0.204739 
 6265 298  1e+06        57.0002610421         0.4417810166  	                   -10.95232             0.270156 
 10390 298  1e+06        24.7343367705         0.2815631863  	                    -7.40151             0.310993 
 6535 298  1e+06       216.2576265021         1.9753147994  	                   -24.99450             0.714311 
 8971 298  1e+06       204.0469809722         1.0330637735  	                   -20.98003             0.659046 
 3235 298  1e+06       174.3478725735         2.7709067595  	                   -17.19440             0.367627 
 9012 298  1e+06       130.8322798451         1.7284374281  	                   -14.55285             0.272106 
 9727 298  1e+06        81.9952279018         0.7401157451  	                   -13.03739             0.399977 
 10628 298  1e+06        40.0299473305         0.6521150950  	                    -9.60369             0.306010 
 4761 298  1e+06       207.9343930812         1.0881564190  	                   -20.11975             0.176448 
 5329 298  1e+06       218.4538770831         1.0285288577  	                   -22.33791             0.399267 
 11050 298  1e+06       210.4702507124         0.7571383750  	                   -21.52307             0.381036 
 4378 298  1e+06        46.5869516791         0.3616377777  	                   -10.28443             0.238448 
 710 298  1e+06        83.7106618084         0.5820251904  	                   -12.75728             0.142186 
 10773 298  1e+06       150.5740477826         1.9662034144  	                   -15.84049             0.125188 
 6621 298  1e+06        21.1930483569         0.2303374311  	                    -6.44465             0.406351 
 7274 298  1e+06        50.3430105584         0.9640310181  	                    -9.97829             0.296320 
 4261 298  1e+06       107.3310049266         0.7181249289  	                   -13.23506             0.275595 
 5222 298  1e+06       219.0567511279         0.6371158260  	                   -24.33918             0.504655 
 5659 298  1e+06        83.1540138707         2.5412985620  	                   -12.22748             0.150885 
 1305 298  1e+06        45.0441989445         0.4432304685  	                   -10.77442             0.439121 
 9604 298  1e+06        48.7656559673         1.2626762578  	                   -10.59429             0.294702 
 979 298  1e+06       104.3554175746         0.3218780479  	                   -13.95889             0.414094 
 1042 298  1e+06       146.4505140584         0.5776955891  	                   -16.48181             0.654777 
 2803 298  1e+06       134.5644378003         2.2284532937  	                   -15.28779             0.458334 
 5472 298  1e+06        61.6319230770         1.3401362005  	                   -11.04067             0.192039 
 12268 298  1e+06        46.4102780903         0.2020794062  	                    -9.68875             0.281748 
 4365 298  1e+06        87.9901348387         0.6030770605  	                   -12.50814             0.300782 
 9290 298  1e+06        85.0586726292         0.5596108188  	                   -12.98222             0.391948 
 11782 298  1e+06       157.5662876708         1.0905490392  	                   -15.78779             0.359181 
 6478 298  1e+06        60.9266619552         0.7060849270  	                   -11.01513             0.192990 
 657 298  1e+06       109.3367893800         2.9370725089  	                   -13.90219             0.520616 
