 ID  Temp   Pres     Molec_cm3overcm3        Molec_fluc                           Heat_of_Ads     Heat_fluc
 10201 298  1000         1.8241783109         0.1164599367  	                   -28.68260             0.292208 
 2647 298  1000         0.1386515537         0.0060381880  	                   -10.32580             0.179781 
 9615 298  1000         0.0740368707         0.0027970513  	                   -10.05358             0.261709 
 10048 298  1000         0.5446205591         0.0185956005  	                   -17.14085             0.148743 
 12221 298  1000         0.2233128648         0.0066489638  	                   -14.68002             0.150774 
 1275 298  1000         2.1150698133         0.0538581771  	                   -23.57073             0.124625 
 1656 298  1000         0.0763872591         0.0015111933  	                   -10.36755             0.270613 
 3249 298  1000        64.7905208843         0.5079390628  	                   -49.72405             1.346852 
 5853 298  1000         0.5077383676         0.0078764544  	                   -17.41875             0.089944 
 13396 298  1000         0.1240636657         0.0044997149  	                   -13.83898             0.243378 
 306 298  1000         9.3606854230         0.1822866220  	                   -29.84924             0.454729 
 4548 298  1000         0.0843131904         0.0011266343  	                   -10.20139             0.089264 
 2955 298  1000         7.0801763403         0.2379153603  	                   -26.73277             0.278092 
 5847 298  1000         0.1514945675         0.0027467254  	                   -11.65378             0.130595 
 8739 298  1000         2.0621278953         0.0572907366  	                   -25.99465             0.218835 
 3161 298  1000         4.1918704437         0.0365884606  	                   -23.45570             0.152051 
 4460 298  1000         0.0568530497         0.0020110767  	                    -7.72394             0.063609 
 6053 298  1000         0.1978275543         0.0055313054  	                   -15.42863             0.230234 
 13392 298  1000         0.1045457820         0.0074686358  	                   -11.18478             0.156646 
 3155 298  1000        17.6378789318         0.1849877951  	                   -28.82335             0.306496 
 7352 298  1000         0.1373000824         0.0019783495  	                   -11.70155             0.105639 
 12536 298  1000         0.0761535815         0.0032259848  	                   -13.62328             0.138192 
 1900 298  1000         0.0516164314         0.0016148298  	                    -8.36637             0.103140 
 6047 298  1000         0.2615350962         0.0069067897  	                   -16.02452             0.135817 
 4454 298  1000         0.2039200201         0.0042664094  	                   -14.17969             0.167525 
 8651 298  1000         2.1517361184         0.1085749416  	                   -25.94838             0.628866 
 984 298  1000         0.2460450663         0.0057568475  	                   -16.03415             0.339092 
 2982 298  1000         0.3069188786         0.0105455457  	                   -15.75510             0.254972 
 7346 298  1000         0.4025875090         0.0066314969  	                   -16.56365             0.201730 
 9950 298  1000         0.0351006166         0.0009467681  	                    -7.17088             0.133321 
 1677 298  1000         0.0594605978         0.0011257302  	                    -9.99037             0.094044 
 2100 298  1000         0.0685146339         0.0036369132  	                    -9.41977             0.146370 
 8645 298  1000         4.1050205922         0.0960781239  	                   -27.88481             0.381166 
 12394 298  1000         0.0476158229         0.0007210355  	                    -9.86481             0.296737 
 2976 298  1000         0.9517718478         0.0131500942  	                   -20.38415             0.153995 
 5868 298  1000         6.7440000564         0.0608640696  	                   -25.29333             0.105159 
 10622 298  1000         0.0176463104         0.0005618007  	                    -3.49682             0.242987 
 11338 298  1000         0.0705271641         0.0036084205  	                    -8.81582             0.271696 
 12512 298  1000         0.2787616735         0.0061181729  	                   -19.58330             0.605784 
 10083 298  1000         0.0448908571         0.0017146107  	                    -8.36137             0.299209 
 12617 298  1000         2.1436325933         0.0877506042  	                   -29.30667             0.454253 
 4481 298  1000         0.6543940786         0.0134110072  	                   -15.80857             0.118223 
 13 298  1000         1.5393757018         0.0549473491  	                   -20.75820             0.130306 
 1921 298  1000         0.0834496252         0.0031180763  	                    -8.86564             0.079742 
 3176 298  1000         0.3677856157         0.0044940023  	                   -15.21279             0.203258 
 1583 298  1000         0.0349722523         0.0022348422  	                    -6.38986             0.088103 
 4813 298  1000        67.0122796263         0.6574159503  	                   -40.55786             1.108742 
 5780 298  1000         1.2339014576         0.0165527354  	                   -18.77023             0.100261 
 10230 298  1000         1.5203188244         0.0451232529  	                   -26.20753             0.297103 
 4475 298  1000         0.6191957160         0.0071917081  	                   -15.38087             0.067244 
 8672 298  1000         8.3367476261         0.1287878376  	                   -28.18178             0.562298 
 12385 298  1000         0.0343385397         0.0003645833  	                    -6.40431             0.156453 
 3508 298  1000         0.1026372162         0.0022659812  	                    -9.42771             0.108554 
 7367 298  1000         0.1380807035         0.0055301538  	                   -13.26748             0.242096 
 1915 298  1000         0.0344407819         0.0015222352  	                    -6.60391             0.244044 
 5774 298  1000        18.6095882736         0.8416005117  	                   -33.11820             0.216412 
 9971 298  1000         0.3644179499         0.0112905724  	                   -19.08113             0.313580 
 10475 298  1000         0.0221776902         0.0008645849  	                    -4.53611             0.204975 
 11732 298  1000         0.0770664730         0.0013964806  	                   -11.36317             0.125455 
 4807 298  1000         0.0877486343         0.0048607385  	                   -13.20049             0.390602 
 2121 298  1000         0.4482384732         0.0120411335  	                   -16.52537             0.113257 
 4469 298  1000         0.0684997483         0.0018993153  	                   -10.04081             0.217200 
 8666 298  1000         1.0614791629         0.0325389277  	                   -24.87722             0.691597 
 10946 298  1000         4.3099392711         0.1676472175  	                   -27.42669             0.566604 
 2997 298  1000         0.1414855886         0.0023480147  	                   -13.65239             0.213759 
 9965 298  1000         0.2247602768         0.0051869408  	                   -14.54166             0.170681 
 11067 298  1000         8.5078422659         0.1331156156  	                   -25.47994             0.128214 
 3082 298  1000         0.3278279630         0.0073061950  	                   -16.71553             0.171717 
 3420 298  1000         0.0648095505         0.0017519165  	                    -9.32969             0.136169 
 12942 298  1000         0.7357212094         0.0128535510  	                   -21.88366             0.191412 
 2574 298  1000         0.6156564216         0.0288993207  	                   -21.79435             0.401824 
 8243 298  1000         0.6277768497         0.0202015322  	                   -17.78613             0.126904 
 10931 298  1000         0.2642838400         0.0119626235  	                   -15.66870             0.073294 
 2115 298  1000         0.0393699227         0.0010659169  	                    -7.33346             0.070144 
 6312 298  1000         0.2267236926         0.0032497168  	                   -13.74370             0.119861 
 11380 298  1000         0.1045149638         0.0041335480  	                   -10.68064             0.104685 
 5007 298  1000     
 9959 298  1000         0.8318003009         0.0211937597  	                   -20.68266             0.087761 
 10466 298  1000         0.0423282610         0.0015841586  	                    -8.82539             0.218598 
 3414 298  1000         0.0902346222         0.0021470977  	                   -11.08002             0.173376 
 7611 298  1000         0.6012099591         0.0099843636  	                   -16.86665             0.070618 
 10606 298  1000         0.0232713452         0.0011393632  	                    -5.02422             0.273092 
 270 298  1000        19.8309381505         0.1003799922  	                   -47.04984             0.756506 
 7273 298  1000         3.3982878743         0.0383781706  	                   -24.84509             0.094858 
 11225 298  1000         0.4209413560         0.0103189011  	                   -17.88026             0.058586 
 1942 298  1000         0.0669667236         0.0017889230  	                    -8.75827             0.083463 
 2109 298  1000         0.0599103637         0.0032592888  	                    -9.62709             0.326172 
 6306 298  1000         0.5348561050         0.0119844302  	                   -18.77814             0.122391 
 660 298  1000         1.8992853911         0.0228504509  	                   -20.84723             0.121566 
 8910 298  1000         0.1228935178         0.0046176979  	                   -12.15165             0.301814 
 12484 298  1000         0.4542918246         0.0474207534  	                   -27.77841             0.426397 
 4496 298  1000         0.1273224723         0.0025961159  	                   -11.50276             0.134975 
 7605 298  1000         0.1601535467         0.0076652257  	                   -12.15647             0.361957 
 10686 298  1000         0.0435179790         0.0015113191  	                    -7.48006             0.334916 
 10969 298  1000         0.1066868265         0.0035256034  	                   -14.10090             0.336473 
 1936 298  1000         0.2169085694         0.0061541867  	                   -11.92589             0.098463 
 1598 298  1000         0.2374984458         0.0059984935  	                   -14.73298             0.196727 
 5795 298  1000         0.1446234415         0.0055469385  	                   -13.26921             0.165239 
 8904 298  1000         3.0806240578         0.0751147126  	                   -27.67858             0.481956 
 11488 298  1000         0.1019308532         0.0023818887  	                   -13.93814             0.185808 
 12865 298  1000         0.1041639842         0.0061265591  	                   -10.99463             0.153683 
 2897 298  1000         0.5020693441         0.0224508314  	                   -22.19138             0.397585 
 10593 298  1000         0.0313962987         0.0011050367  	                    -6.80293             0.198738 
