 ID  Temp   Pres     Molec_cm3overcm3        Molec_fluc                           Heat_of_Ads     Heat_fluc
 12616 298  100000         9.5381408680         0.3192417805  	                   -10.63549             0.252688 
 2268 298  100000        31.1169417407         0.7630838754  	                   -14.78446             0.732877 
 8329 298  100000         5.5827673248         0.1761652017  	                   -10.29879             0.478383 
 11735 298  100000        86.1117205386         1.1327923677  	                   -20.57068             0.622674 
 1981 298  100000        20.3746554184         1.3833707809  	                   -13.68312             0.691723 
 5106 298  100000        90.8941893355         1.4770903250  	                   -40.39775             3.323239 
 11994 298  100000         8.9149256174         0.1479785266  	                   -12.00380             0.481273 
 12812 298  100000        13.5970069192         0.7799122594  	                   -13.70885             0.675539 
 1303 298  100000         7.3746696183         0.1286098273  	                   -10.13117             0.374064 
 2094 298  100000        21.1460599702         0.5882735178  	                   -14.17585             0.570625 
 453 298  100000        18.2046199712         0.7337453504  	                   -12.81413             0.313212 
 7403 298  100000        23.3321444420         0.5774515718  	                   -14.35972             0.439243 
 3028 298  100000        12.0914724597         0.5119024247  	                   -10.42711             0.380668 
 7439 298  100000        37.0014238234         0.9909924998  	                   -15.32481             0.318068 
 9988 298  100000         7.9442348706         0.3633578437  	                   -10.22174             0.277062 
 12376 298  100000         3.4347662190         0.1082764172  	                    -6.19467             0.551233 
      
 9700 298  100000         3.7412991044         0.1219135726  	                    -6.96664             0.208808 
 6342 298  100000         5.3781593097         0.1281233408  	                    -8.60487             0.232215 
 8103 298  100000         4.2876559192         0.1643934126  	                    -7.92920             0.190459 
 910 298  100000        56.0716861063         0.4691206033  	                   -20.14560             0.994666 
 1470 298  100000         6.7117875345         0.2449534649  	                   -10.01233             0.222097 
 7466 298  100000         5.7593133294         0.1619781797  	                    -9.05726             0.520259 
 8287 298  100000       114.2657724500         1.0458098147  	                   -22.40772             0.670898 
 10519 298  100000         2.6644592057         0.0558470543  	                    -5.56818             0.761822 
 11968 298  100000         4.0606136621         0.0866307045  	                    -8.82291             0.766514 
 7510 298  100000         6.5196630981         0.1636145469  	                    -8.54481             0.241243 
 1634 298  100000         5.0665525967         0.1272531641  	                    -8.95030             0.746134 
 2216 298  100000       101.3180939883         3.5881244045  	                   -19.34862             0.413439 
 4060 298  100000         0.0000000000         0.0000000000  	                        -nan                  nan 
 3375 298  100000       128.5356111290         1.4986516909  	                   -22.09750             0.544180 
 4236 298  100000        15.2885754759         0.9661915746  	                   -11.38343             0.414365 
 5993 298  100000       149.7133270370         1.6582054882  	                   -25.14741             1.598519 
 4859 298  100000        57.0266693349         3.4794359304  	                   -17.09574             0.214389 
 6243 298  100000         6.5383796598         0.2252589223  	                    -9.66922             0.450165 
 7013 298  100000        86.2024743500         8.1323841330  	                   -18.38049             0.641487 
 11416 298  100000        29.7431043758         0.8939849745  	                   -15.69022             0.455134 
 12310 298  100000        45.1542131835         0.2851426864  	                   -17.00548             0.512985 
 4392 298  100000        37.3733278764         0.9176596852  	                   -15.03886             0.370589 
 1278 298  100000        51.1207415391         0.1511106762  	                   -21.51229             1.231433 
 199 298  100000       125.4316445433         0.4305958069  	                   -38.09030             3.543183 
 7007 298  100000         5.8231959232         0.1950549604  	                    -9.60443             0.655821 
 3753 298  100000       141.9424359988         1.0113300638  	                   -22.63129             0.177946 
 3755 298  100000        81.8990227840         1.0678030113  	                   -18.91262             0.431102 
 838 298  100000        13.0531482727         0.1960226121  	                   -13.01312             0.856151 
 4824 298  100000        17.9869370512         0.6191643434  	                   -13.46650             0.458547 
 7785 298  100000        28.5479923223         0.2708996145  	                   -13.17061             0.359493 
 8444 298  100000        32.7829095782         1.0607355971  	                   -14.89488             0.528200 
 2384 298  100000       154.5993613831         1.8060979742  	                   -33.09911             2.184511 
 2409 298  100000        96.7308308132         4.4870320963  	                   -19.95511             0.457166 
 9956 298  100000        86.9088081949         2.4363059469  	                   -20.03166             0.834455 
 13095 298  100000        12.3114808385         0.5761052839  	                   -12.62384             0.622236 
 3939 298  100000        12.7526862040         0.2830422928  	                   -11.51341             0.230088 
 4757 298  100000        10.5271919747         0.4786650095  	                   -11.75971             0.854682 
 4580 298  100000        20.6617255102         0.7496086873  	                   -12.56280             0.176026 
 5939 298  100000        95.4175527786         2.7417185739  	                   -19.91950             0.593300 
 8470 298  100000         7.3114779623         0.1162231941  	                   -10.94848             0.800238 
 12696 298  100000       117.9818686148         1.1709957122  	                   -21.26582             0.410718 
 1519 298  100000        16.3742012309         0.2120113066  	                   -10.92917             0.388786 
 7348 298  100000        52.5904036072         1.0918423840  	                   -16.96963             0.707307 
 10234 298  100000         7.7354368310         0.1868026139  	                   -12.54964             1.604139 
 5528 298  100000         7.8338052790         0.3063370351  	                   -10.79156             0.864324 
 5980 298  100000       154.2794093239         1.4179865980  	                   -32.88408             2.286989 
 10595 298  100000         5.6741157963         0.2488480914  	                   -10.46260             0.487175 
 5201 298  100000       162.1096980346         0.9304509764  	                   -28.00145             1.044510 
 8149 298  100000        10.4473190740         0.2745973133  	                   -12.44112             0.983885 
 11665 298  100000        97.9786107335         1.0418128734  	                   -20.89398             0.701042 
 7610 298  100000        12.4934230581         0.5095737689  	                   -10.21339             0.398279 
 9357 298  100000        64.8007363439         1.7641037186  	                   -17.59857             0.599534 
 10038 298  100000        40.4643563808         2.4443230088  	                   -15.47349             0.276463 
 10322 298  100000        14.6835339674         0.0518860622  	                   -15.55905             1.493502 
 3151 298  100000       109.2504516778         1.0184887259  	                   -36.06951             1.355356 
 1748 298  100000        10.4933751457         0.3326535509  	                    -9.89231             0.355118 
 3471 298  100000        27.2219424301         0.2124265133  	                   -14.91153             0.788732 
 5085 298  100000         6.6043561529         0.3546644165  	                    -9.61774             0.468673 
 11754 298  100000        46.3975455399         0.6978211827  	                   -17.77824             0.504588 
 285 298  100000       102.8124747203         1.3504970712  	                   -33.68483             2.356218 
 3232 298  100000        57.4811693294         1.1891686932  	                   -15.93790             0.303025 
 11080 298  100000        25.9948651823         0.8223531222  	                   -14.70628             0.528542 
 448 298  100000         3.0975381642         0.1108098084  	                    -5.75773             0.293927 
 6616 298  100000         4.6881738030         0.1718559100  	                    -8.90242             0.556615 
 2248 298  100000         5.4155618004         0.2192597834  	                    -8.07891             0.570375 
 6128 298  100000        14.6558640424         0.2484808062  	                   -12.16959             0.673193 
 9021 298  100000       154.3699097394         0.4856442652  	                   -24.35177             0.912525 
 10554 298  100000         3.0707805600         0.1258846459  	                    -6.44237             0.215324 
 1469 298  100000         3.5545287008         0.0897635268  	                    -6.43641             0.487534 
 7159 298  100000       144.7845963200         0.7481914920  	                   -26.74346             0.429524 
 4100 298  100000       151.2446705038         1.4468683703  	                   -25.24644             0.943419 
 6447 298  100000       145.8145003758         1.7096527519  	                   -24.44988             0.671764 
 8273 298  100000        13.9889948330         0.5025779955  	                   -13.52314             0.469450 
 5631 298  100000       104.9925136260         0.9843206786  	                   -20.37419             0.755736 
 6718 298  100000         5.1497058486         0.2507053124  	                    -9.52433             0.585758 
 7074 298  100000        14.9340058955         0.8625333076  	                   -12.55270             0.574142 
 10981 298  100000        80.2626751849         2.1388549374  	                   -18.96025             0.391284 
 11296 298  100000         8.2957718817         0.1669901727  	                   -11.48084             0.366868 
 2622 298  100000        19.8674396733         0.6622469417  	                   -12.93502             0.728175 
 1131 298  100000        52.1726700670         1.0685479006  	                   -18.61875             0.720718 
 1794 298  100000        29.0211199124         0.8104673402  	                   -14.54002             0.119408 
 446 298  100000         6.3719517424         0.3375128167  	                   -10.14605             0.445554 
 12801 298  100000        33.0338980359         1.7411955318  	                   -17.33866             0.592412 
 2453 298  100000       106.7217271886         1.0209244693  	                   -20.91394             0.717655 
 409 298  100000         2.8151099977         0.0885466125  	                    -5.09220             0.241156 
 12820 298  100000        11.9189037522         0.5230530615  	                   -13.23524             0.632433 
 2883 298  100000        21.8807531088         0.4906685160  	                   -12.60379             0.441240 
 4059 298  100000         0.0000000000         0.0000000000  	                        -nan                  nan 
 11933 298  100000        14.3424526548         0.3341422796  	                   -12.88339             0.674081 
 1578 298  100000         7.0003745343         0.3415831109  	                   -10.55938             0.739303 
 2244 298  100000        11.6393909444         0.5077440172  	                   -11.82049             0.624892 
 6791 298  100000        16.6289155020         0.5631664761  	                   -13.37628             0.413421 
 8161 298  100000        65.5561366193         1.3052125405  	                   -18.13764             0.614700 
 9614 298  100000        23.7571760255         0.1644774948  	                   -15.12723             0.612669 
 10844 298  100000         2.5705794138         0.1639422989  	                    -5.60424             0.486215 
 11316 298  100000        38.7313604835         2.2951068554  	                   -15.11379             0.300563 
 9985 298  100000         5.3543579746         0.2477497471  	                    -8.21090             0.181618 
 2048 298  100000       171.2305542002         0.6576772763  	                   -35.02136             2.356872 
 4863 298  100000         0.0058075935         0.0061049372  	                   -17.11630             4.519739 
