# Radial distribution function (100 data points):
# "Pair separation distance" Kr_-Kr_ Kr_-O Kr_-C Kr_-Cr Kr_-H O-O O-C O-Cr O-H C-C C-Cr C-H Cr-Cr Cr-H H-H
0.064 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.192 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.448 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.576 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.704 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.832 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.96 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.088 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 49.2006858669 0.0 0.0 0.0 
1.216 0.0 0.0 0.0 0.0 0.0 0.0 36.3663315349 0.0 0.0 7.8793718326 0.0 0.0 0.0 0.0 0.0 
1.344 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.9547099357 0.0 0.0 0.0 0.0 0.0 
1.472 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25.100198768 0.0 0.0 0.0 0.0 0.0 
1.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.728 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.856 0.0 0.0 0.0 0.0 0.0 0.0 0.0 195.2312964729 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.984 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.112 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0469831866 0.0 0.0 0.0 
2.24 0.0 0.0 0.0 0.0 0.0 24.7474910336 0.8936593984 0.0 0.0 0.0 0.0 0.968131015 0.0 0.0 0.0 
2.368 0.0 0.0 0.0 0.0 0.0 0.0 8.7964974282 0.0 0.0 9.0097458507 0.0 0.0 0.0 0.0 0.0 
2.496 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.7967526796 10.6048104098 0.0 0.0 0.0 0.0 23.3929641392 
2.624 0.0 0.0 0.0 0.0 0.0 18.0356417604 0.0 0.0 0.0 3.3866927306 0.0 3.1750244349 0.0 0.0 0.0 
2.752 0.0 0.0 0.0 0.0 0.0 49.1916602593 3.5527310187 0.0 0.0 3.0790335496 0.0 4.8109899212 0.0 0.0 0.0 
2.88 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4057338819 28.1146776382 0.0 0.0 0.0 0.0 
3.008 0.0 0.0 0.0 0.0 0.0 6.8626868618 2.9738309734 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.136 0.0 0.0 0.0 0.0 0.0 0.0 2.7360565924 27.3605659244 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.264 0.0 0.0 0.0 0.0 0.9120578193 0.0 0.0 0.0 0.0 0.0 0.0 0.0 109.44693832 0.0 0.0 
3.392 0.0 0.0 0.0 0.0 1.6890600907 0.0 4.6773971742 23.3869858708 0.0 0.0 0.0 10.134360544 0.0 0.0 0.0 
3.52 0.0 0.7239074369 0.0 0.0 3.1369322266 0.0 0.3619537184 0.0 0.0 2.3526991699 0.0 2.3526991699 0.0 0.0 0.0 
3.648 0.0 0.6740032722 2.3365446769 0.0 1.4603404231 0.0 3.707017997 0.0 0.0 0.7301702115 0.0 0.0 0.0 0.0 0.0 
3.776 0.0 1.2581738601 1.0904173454 0.0 0.6815108409 13.0656516238 1.8872607901 0.0 0.0 2.9986476998 0.0 0.0 0.0 0.0 0.0 
3.904 0.0 0.5885152183 1.7851628289 2.5502326127 1.2751163064 8.1486722536 0.0 0.0 0.7356440229 0.0 0.0 3.8253489191 0.0 0.0 0.0 
4.032 0.0 0.0 0.4781793229 2.3908966147 2.9886207684 0.0 0.0 0.0 4.1380902947 0.7172689844 0.5977241537 0.0 0.0 10.4601726895 0.0 
4.16 0.0 1.5549504333 1.5722276603 0.0 1.1230197573 0.0 1.8141088388 0.0 1.6197400346 0.1123019757 12.9147272095 0.0 0.0 7.0188734834 1.4037746967 
