# Radial distribution function (20 data points):
# "Pair separation distance" Kr_-Kr_ Kr_-O Kr_-C Kr_-Cr Kr_-H O-O O-C O-Cr O-H C-C C-Cr C-H Cr-Cr Cr-H H-H
0.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.96 0.0 0.0 0.0 0.0 0.0 0.0 11.2631723954 0.0 0.0 2.440354019 0.0 12.201770095 0.0 0.0 0.0 
1.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 51.8698728734 0.0 8.0917001683 0.0 0.0 0.0 0.0 0.0 
2.24 0.0 0.0 0.0 0.0 0.0 4.9173933535 2.1308704532 0.0 2.6635880665 4.6168859819 0.0 4.6168859819 0.0 0.0 5.7711074774 
2.88 0.0 0.0 0.0 0.0 0.0 13.4220654649 1.9387427894 6.4624759646 0.0 1.4002031257 5.6008125026 1.4002031257 0.0 0.0 0.0 
3.52 0.0 0.5775985844 0.7508781597 0.0 1.5643294994 2.9990695727 2.1659946914 4.3319893828 0.0 1.3140367795 0.0 2.346494249 18.7719539923 0.0 0.0 
4.16 0.0 0.9312071665 1.4347488196 0.8967180122 1.7934360245 2.8652528201 1.0605414952 3.3626925459 1.5520119442 0.6725385092 2.8022437882 0.6725385092 0.0 3.3626925459 2.5220194094 
4.8 2.1563680483 0.6997829003 1.650969287 0.6738650151 1.7688956647 3.2297672322 2.6047474622 2.1382255287 2.089629494 0.6064785136 1.9373619184 1.2634969033 0.0 0.0 1.2634969033 
5.44 5.0381502328 0.9688750448 1.3907393872 0.262403658 0.8528118884 0.838449558 1.4533125671 0.0 1.5517139389 1.023374266 1.5744219477 0.5412075445 0.0 1.9680274347 0.4920068587 
6.08 2.6894922522 1.066745725 1.1766528603 1.2606994932 1.050582911 0.0 1.2728216037 0.0 1.090989946 0.7564196959 1.2606994932 0.5121591691 0.0 0.1313228639 0.7879371833 
6.72 0.0 1.111571898 1.0321739053 1.7202898422 0.8601449211 0.0 1.2902173816 0.0 1.1909698907 1.0665797022 2.0643478106 0.8816485441 0.0 3.7631340298 0.8063858635 
7.36 0.0 0.8605782435 0.9466360678 1.2908673652 1.0398653775 0.0 1.2908673652 0.0 2.0066367696 0.8390637874 0.8605782435 1.0398653775 0.0 2.1514456087 0.7171485362 
8.0 0.0 1.4569277725 0.8862977283 0.7284638863 1.0623431675 0.0 0.8755575556 0.0 1.2783140312 1.2262475419 0.9105798578 1.2065183116 0.0 0.0 0.7588165482 
8.64 0.0 1.4653792239 0.9785209899 1.1450777542 0.7026613492 0.0 0.7026613492 0.0 0.7807348324 0.8536034168 0.6245878659 0.7937470796 0.0 0.8457960684 1.1711022486 
9.28 1.7326126791 1.1037075961 1.0828829244 1.7145646304 0.924962498 0.2883416071 0.6403586524 0.0 0.7809251859 1.1189790219 1.0828829244 1.2013232443 0.0 1.2972035032 0.9870026655 
9.92 1.0108909852 1.2575386655 1.1372523584 1.5005413062 1.3623335543 0.2523488961 0.4601862508 0.0 0.6834449269 1.0385325356 0.1184637873 0.7996305645 0.0 0.5923189367 1.2833576961 
10.56 0.4460541006 1.0615229797 1.0593784889 1.1848312047 1.0977112631 0.0185580941 0.3659037544 0.0 0.5026150472 0.7213531158 0.6098395906 1.1935431988 0.0 0.0 0.7840794737 
11.2 0.7930929275 1.2868695337 0.9975621978 0.8674453894 0.7435246195 0.6764314216 0.4253818737 0.8579130225 0.6166249849 0.8457592547 0.2013712511 0.5382808443 0.0 0.6970543308 0.7357795714 
11.84 0.0 1.1643363869 0.9980026173 1.3306701564 1.0395860597 0.9743812536 0.6525401729 0.767694321 0.3918439763 0.6376127833 0.0138611475 1.004933191 0.0 0.4158344239 1.3514618776 
12.48 0.319391937 0.9213228953 0.908270821 0.9481948131 0.8359085852 0.6644155495 0.6564425629 0.3454960857 0.8781358846 0.6936793633 0.3742874262 0.7641701619 0.0 0.9357185656 0.8109560902 
