# Radial distribution function (20 data points):
# "Pair separation distance" Xe_-Xe_ Xe_-O Xe_-C Xe_-Cr Xe_-H O-O O-C O-Cr O-H C-C C-Cr C-H Cr-Cr Cr-H H-H
0.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.96 0.0 0.0 0.0 0.0 0.0 0.0 11.2631723954 0.0 0.0 2.440354019 0.0 12.201770095 0.0 0.0 0.0 
1.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 51.8698728734 0.0 8.0917001683 0.0 0.0 0.0 0.0 0.0 
2.24 0.0 0.0 0.0 0.0 0.0 4.9173933535 2.1308704532 0.0 2.6635880665 4.6168859819 0.0 4.6168859819 0.0 0.0 5.7711074774 
2.88 0.0 0.0 0.0 0.0 0.1725602444 13.4220654649 1.9387427894 6.4624759646 0.0 1.4002031257 5.6008125026 1.4002031257 0.0 0.0 0.0 
3.52 0.0111715656 0.3432033842 0.2115149746 0.1982952887 1.3715424132 2.9990695727 2.1659946914 4.3319893828 0.0 1.3140367795 0.0 2.346494249 18.7719539923 0.0 0.0 
4.16 1.2487523201 0.7978652953 1.4540093121 0.5209805353 1.3853346052 2.8652528201 1.0605414952 3.3626925459 1.5520119442 0.6725385092 2.8022437882 0.6725385092 0.0 3.3626925459 2.5220194094 
4.8 1.8948693888 0.8008078965 1.446792933 0.7118292413 1.1166821223 3.2297672322 2.6047474622 2.1382255287 2.089629494 0.6064785136 1.9373619184 1.2634969033 0.0 0.0 1.2634969033 
5.44 1.2133761688 0.9690882655 1.201605483 0.9978730655 1.0740994802 0.838449558 1.4533125671 0.0 1.5517139389 1.023374266 1.5744219477 0.5412075445 0.0 1.9680274347 0.4920068587 
6.08 0.9115750154 0.9450124181 1.028757421 0.9211096649 0.8378768639 0.0 1.2728216037 0.0 1.090989946 0.7564196959 1.2606994932 0.5121591691 0.0 0.1313228639 0.7879371833 
6.72 0.7893335459 0.9498404234 0.9404049225 1.3538196469 0.9540339794 0.0 1.2902173816 0.0 1.1909698907 1.0665797022 2.0643478106 0.8816485441 0.0 3.7631340298 0.8063858635 
7.36 0.8860148946 1.0279388011 0.8234582312 1.0226942154 1.0037554336 0.0 1.2908673652 0.0 2.0066367696 0.8390637874 0.8605782435 1.0398653775 0.0 2.1514456087 0.7171485362 
8.0 0.9234049263 1.174973576 0.8733871594 0.9490550631 1.006767871 0.0 0.8755575556 0.0 1.2783140312 1.2262475419 0.9105798578 1.2065183116 0.0 0.0 0.7588165482 
8.64 1.1132556983 1.2484990386 1.0133058423 1.121619055 0.9415552116 0.0 0.7026613492 0.0 0.7807348324 0.8536034168 0.6245878659 0.7937470796 0.0 0.8457960684 1.1711022486 
9.28 1.0730014298 1.155989254 1.1467501392 1.220149774 1.0366506869 0.2883416071 0.6403586524 0.0 0.7809251859 1.1189790219 1.0828829244 1.2013232443 0.0 1.2972035032 0.9870026655 
9.92 0.9545723153 1.1936221259 1.1792152351 1.1429252721 1.0261299888 0.2523488961 0.4601862508 0.0 0.6834449269 1.0385325356 0.1184637873 0.7996305645 0.0 0.5923189367 1.2833576961 
10.56 0.923288188 1.1604036414 1.0708390558 1.34729149 1.0353162064 0.0185580941 0.3659037544 0.0 0.5026150472 0.7213531158 0.6098395906 1.1935431988 0.0 0.0 0.7840794737 
11.2 0.930327621 1.1124171498 1.0180920296 1.2599338843 1.0913972738 0.6764314216 0.4253818737 0.8579130225 0.6166249849 0.8457592547 0.2013712511 0.5382808443 0.0 0.6970543308 0.7357795714 
11.84 0.9819664713 1.0866659051 1.0269938905 1.1742929857 1.0835122312 0.9743812536 0.6525401729 0.767694321 0.3918439763 0.6376127833 0.0138611475 1.004933191 0.0 0.4158344239 1.3514618776 
12.48 0.9818640993 1.1033977105 1.028499674 1.0042500661 1.0378568597 0.6644155495 0.6564425629 0.3454960857 0.8781358846 0.6936793633 0.3742874262 0.7641701619 0.0 0.9357185656 0.8109560902 
