%IncMSE,IncNodePurity,varnames,midpoints
8.016833824884758,4534.700659803042,"-Inf to
-8.9",-Inf
5.852256664690399,6189.183028969227,"-5 to
-4.8",-4.9
5.284577201422769,35853.36400840988,"-4.8 to
-4.6",-4.7
6.698190007594054,70534.73358185409,"-4.6 to
-4.4",-4.5
7.308595162180056,93367.98185916571,"-4.4 to
-4.2",-4.3
3.938087548658999,30096.548458727248,"-4.2 to
-4",-4.1
7.255952122842144,91108.88124712,"-4 to
-3.8",-3.9
8.98806004674956,141239.49881113856,"-3.8 to
-3.6",-3.7
5.321558906336371,52457.103598980684,"-3.6 to
-3.4",-3.5
4.3651595750954195,19460.367354217015,"-3.4 to
-3.2",-3.3
3.452736476402387,6474.4008329898,"-3.2 to
-3.1",-3.15
8.298966723915461,5315.036189010237,"-8.9 to
-7.8",-8.35
2.452100702704628,6530.988988315993,"-3.1 to
-3",-3.05
2.420653986471361,8563.215015231957,"-3 to
-2.9",-2.95
2.6444166206304067,2434.6239195015046,"-2.9 to
-2.8",-2.85
4.701113188552143,2049.801440474679,"-2.8 to
-2.7",-2.75
5.347107272557056,8603.398331333108,"-2.7 to
-2.6",-2.65
6.332307978222114,18124.486527858495,"-2.6 to
-2.5",-2.55
4.3361921574973765,3199.791643014197,"-2.5 to
-2.4",-2.45
4.744315758751657,2981.69001524324,"-2.4 to
-2.3",-2.35
6.073434302995417,8377.380831280245,"-2.3 to
-2.2",-2.25
5.948531643552847,3863.007144942048,"-2.2 to
-2.1",-2.15
10.53060036246165,3380.6011683621077,"-7.8 to
-7.1",-7.45
6.658115861669396,16239.813134889675,"-2.1 to
-2",-2.05
5.130214337899215,5036.383615486612,"-2 to
-1.9",-1.95
6.91339096882098,3693.6844573990556,"-1.9 to
-1.8",-1.85
5.885265489301066,3118.8341540157594,"-1.8 to
-1.7",-1.75
4.124986675879711,2838.8167069974593,"-1.7 to
-1.6",-1.65
4.744868740305399,2457.1264585244357,"-1.6 to
-1.5",-1.55
5.689529717920038,2443.308543473249,"-1.5 to
-1.4",-1.45
6.290548310469081,2070.270112921132,"-1.4 to
-1.3",-1.35
8.070819737026113,1694.524293464999,"-1.3 to
-1.2",-1.25
6.9220358964366975,2938.7725165570014,"-1.2 to
-1.1",-1.15
12.27431775102067,5080.750090900066,"-7.1 to
-6.6",-6.85
10.174732157756381,5011.996357646782,"-1.1 to
-1",-1.05
7.327237495302636,3443.653394008052,"-1 to
-0.9",-0.95
9.356865489477492,2610.6364179037346,"-0.9 to
-0.8",-0.85
5.636429989442884,2523.1933844581176,"-0.8 to
-0.7",-0.75
5.775699846289715,2856.259910086562,"-0.7 to
-0.6",-0.65
6.420636366420406,2260.852061805788,"-0.6 to
-0.5",-0.55
8.742443096741619,1894.4153723849101,"-0.5 to
-0.4",-0.45
8.476123034266543,3181.9333083440165,"-0.4 to
-0.3",-0.35
9.543098135106924,1618.4481403744212,"-0.3 to
-0.2",-0.25
8.314318495692424,1807.85875144555,"-0.2 to
-0.1",-0.15
11.125299837634794,6695.7839096081225,"-6.6 to
-6.2",-6.4
18.666543183595905,35851.13420221541,"-0.1 to
0",-0.05
9.270191039998714,10995.834371483099,"-6.2 to
-5.9",-6.05
8.130516174876519,10027.434240100883,"-5.9 to
-5.6",-5.75
8.551099596011564,16825.325100741156,"-5.6 to
-5.3",-5.45
6.334140592616214,8362.409756574212,"-5.3 to
-5",-5.15
11.78242190526096,47335.48928041791,Inf,2
13.503202828572313,140498.7270253181,VSA,VSA
33.14572687292862,90428.49464755577,GSA,GSA
11.943397802267267,9917.544067051345,PLD,PLD
14.234779135325043,12464.776419083973,LCD,LCD
7.6285321808806446,2620.2113929259763,Min,Min
22.244587745146735,361045.89279853716,Median,Median
17.67406714603722,370985.19454612944,Q1,Q1
