%IncMSE,IncNodePurity,varnames,midpoints
11.1520203507022,10935.86265688769,"-Inf to
-8.9",-Inf
7.472271100154675,15888.01745706068,"-5 to
-4.8",-4.9
8.966027174030721,113939.20063033262,"-4.8 to
-4.6",-4.7
10.233811271978407,161732.37808587574,"-4.6 to
-4.4",-4.5
9.62971336377204,170991.84502850543,"-4.4 to
-4.2",-4.3
6.116373058663859,64084.00986829794,"-4.2 to
-4",-4.1
11.592885021003026,211623.41880956647,"-4 to
-3.8",-3.9
13.55764996492085,267982.5469618279,"-3.8 to
-3.6",-3.7
7.527480913031477,103869.17397130527,"-3.6 to
-3.4",-3.5
6.478575975675633,38458.75118796772,"-3.4 to
-3.2",-3.3
5.869412839813346,13800.677796664937,"-3.2 to
-3.1",-3.15
12.952506508371634,9912.725314403415,"-8.9 to
-7.8",-8.35
6.025126416906148,7156.033043725724,"-3.1 to
-3",-3.05
4.572089562980618,4433.303320476305,"-3 to
-2.9",-2.95
6.791248633068106,9744.22462739006,"-2.9 to
-2.8",-2.85
7.24410032801768,4495.070343286566,"-2.8 to
-2.7",-2.75
5.193197305916257,8051.949941426649,"-2.7 to
-2.6",-2.65
8.867058416583564,31236.45002001307,"-2.6 to
-2.5",-2.55
5.832870846807079,4884.276228686379,"-2.5 to
-2.4",-2.45
5.693010273646474,5537.662575821346,"-2.4 to
-2.3",-2.35
8.42878586274867,22091.689888202858,"-2.3 to
-2.2",-2.25
6.8640061629689715,12408.524353889636,"-2.2 to
-2.1",-2.15
10.666253639285426,7059.717947869703,"-7.8 to
-7.1",-7.45
10.096076988590523,26275.48642818139,"-2.1 to
-2",-2.05
7.850756959377314,11263.973288182711,"-2 to
-1.9",-1.95
7.403150000923069,5291.83238419062,"-1.9 to
-1.8",-1.85
9.075346246272046,5085.434322870649,"-1.8 to
-1.7",-1.75
6.939729935349845,5298.5462611610765,"-1.7 to
-1.6",-1.65
7.051902996598463,4433.4552517537295,"-1.6 to
-1.5",-1.55
9.449488010874187,6482.38912438402,"-1.5 to
-1.4",-1.45
8.108346423084862,5897.981506409345,"-1.4 to
-1.3",-1.35
6.015772130159762,5573.107187997504,"-1.3 to
-1.2",-1.25
9.181022125769797,5802.186022363313,"-1.2 to
-1.1",-1.15
13.314235060369958,10402.555938777166,"-7.1 to
-6.6",-6.85
16.699007145090164,9909.931627804603,"-1.1 to
-1",-1.05
10.938670166279513,6662.818579253148,"-1 to
-0.9",-0.95
13.870570520988318,5619.035544897481,"-0.9 to
-0.8",-0.85
12.171181869314385,5790.4239195336495,"-0.8 to
-0.7",-0.75
12.409403217871448,6135.364597748363,"-0.7 to
-0.6",-0.65
10.658720795073648,5192.852978319985,"-0.6 to
-0.5",-0.55
11.317838802034586,4682.603757799993,"-0.5 to
-0.4",-0.45
13.487830373894694,6546.8599596416425,"-0.4 to
-0.3",-0.35
12.51097852382954,5255.765714025831,"-0.3 to
-0.2",-0.25
12.03856896023376,3511.7783911765637,"-0.2 to
-0.1",-0.15
11.711539871805131,21053.973626643536,"-6.6 to
-6.2",-6.4
34.91342876589087,82147.98424560062,"-0.1 to
0",-0.05
12.712174762995764,40637.89562632981,"-6.2 to
-5.9",-6.05
11.735801297838988,48749.554350716106,"-5.9 to
-5.6",-5.75
13.880918893288293,47800.53066589367,"-5.6 to
-5.3",-5.45
6.551444451740793,15786.649733222253,"-5.3 to
-5",-5.15
23.233400914322576,112316.82012873272,Inf,2
