%IncMSE,IncNodePurity,varnames,midpoints
19.399891172150653,439140.33168797806,"-Inf to
-8.7",-Inf
7.420176015556831,5257.23403394933,"-4.9 to
-4.7",-4.8
6.953262562445935,3093.64722531154,"-4.7 to
-4.5",-4.6
6.916966349874646,2674.3265951638373,"-4.5 to
-4.3",-4.4
5.8839403081940045,2547.9920510859233,"-4.3 to
-4.1",-4.2
4.1930119349844235,4465.025198113634,"-4.1 to
-3.9",-4
3.456980217053993,2222.209399799074,"-3.9 to
-3.7",-3.8
3.068109844505498,1608.9137456454475,"-3.7 to
-3.5",-3.6
5.035656040249493,2298.165877212546,"-3.5 to
-3.3",-3.4
2.5673228998295747,1923.734767116638,"-3.3 to
-3.1",-3.2
3.9685975970883045,1878.1974190536102,"-3.1 to
-2.9",-3
24.35626120054429,667409.1906166347,"-8.7 to
-7.6",-8.15
4.3542035921591715,2593.626846821288,"-2.9 to
-2.8",-2.85
4.86864585139644,2841.009877640257,"-2.8 to
-2.7",-2.75
2.600139923029962,1650.2329519195312,"-2.7 to
-2.6",-2.65
3.2859472407992447,1582.5551401265948,"-2.6 to
-2.5",-2.55
4.218049712577213,2127.3516396079026,"-2.5 to
-2.4",-2.45
4.064296572973288,2249.993129215111,"-2.4 to
-2.3",-2.35
3.357876180325142,2312.025773823852,"-2.3 to
-2.2",-2.25
3.5317134764827673,1837.429736749229,"-2.2 to
-2.1",-2.15
4.061991940877952,1548.8297669060562,"-2.1 to
-2",-2.05
2.6934108382143096,1973.3688656049312,"-2 to
-1.9",-1.95
16.68509200598737,165685.34626275708,"-7.6 to
-6.9",-7.25
6.381445192609798,3495.6222293505307,"-1.9 to
-1.8",-1.85
4.033411803934702,2738.894237309697,"-1.8 to
-1.7",-1.75
4.915933897936862,3456.940827732368,"-1.7 to
-1.6",-1.65
6.351886120878216,6790.783752205367,"-1.6 to
-1.5",-1.55
5.570496760622536,5834.8412796139455,"-1.5 to
-1.4",-1.45
5.662453200927843,7508.267150832841,"-1.4 to
-1.3",-1.35
6.280400311651715,6297.230182401556,"-1.3 to
-1.2",-1.25
5.50927396702106,12003.051098573389,"-1.2 to
-1.1",-1.15
9.047148529919932,21571.59589775328,"-1.1 to
-1",-1.05
7.443828137659162,13035.844619204086,"-1 to
-0.9",-0.95
16.830229635266196,85185.75281264207,"-6.9 to
-6.4",-6.65
7.568613483536095,7781.545822146557,"-0.9 to
-0.8",-0.85
8.716971217391754,38108.695057297526,"-0.8 to
-0.7",-0.75
7.6067183828996985,69165.40556182142,"-0.7 to
-0.6",-0.65
9.996861737546213,104483.87789712807,"-0.6 to
-0.5",-0.55
7.905794619793321,126980.43062774888,"-0.5 to
-0.4",-0.45
6.915540283520147,129209.46909187979,"-0.4 to
-0.3",-0.35
7.060828935154148,57201.13355807248,"-0.3 to
-0.2",-0.25
6.854657026537311,15870.91076663413,"-0.2 to
-0.1",-0.15
5.651285268506452,2757.179100483055,"-0.1 to
0",-0.05
13.258988421466798,45709.81393422409,"-6.4 to
-6",-6.2
12.113649610552045,26711.96182329926,"-6 to
-5.7",-5.85
11.394842066622747,15270.097115402972,"-5.7 to
-5.4",-5.55
7.973066672344698,10134.096288685943,"-5.4 to
-5.1",-5.25
8.245723885150175,6404.062507994949,"-5.1 to
-4.9",-5
15.549282299820742,478780.06319523853,Inf,2
10.162352522654848,15414.311714603222,VSA,VSA
15.645355656783975,23790.92268906006,GSA,GSA
5.461143754067697,18834.30383385864,PLD,PLD
3.7603202096140387,4467.555426648165,LCD,LCD
