"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"1","10",0.85,11.4,14.1,4856,2110,73.6722109484,86.5987039336903
"2","10009",0.92,13.9,26.6,5850,1299,40.2245885681,43.3378780916973
"3","10013",0.94,17,32.7,6918,1092,41.0770456592,31.536133778085
"4","10039",0.96,24.7,44.5,8035,710,23.0168396819,22.0756080204562
"5","10047",0.91,11.4,23.3,5873,1454,57.4552986038,51.3177338753012
"6","10052",0.89,13.1,24.2,5387,1435,61.2790700975,52.9559979707385
"7","10057",0.94,17,31.6,6321,1081,32.2037015549,34.1094896349438
"8","10071",0.96,22.9,39.6,7016,748,21.3063648403,24.5093891307519
"9","10081",0.97,26.4,45.1,8595,668,18.0384693725,20.5589413436205
"10","10086",0.92,13.5,27,7064,1312,39.1983091376,38.3100903738785
"11","1011",0.83,21.5,22.2,3169,1534,90.9804418884,87.255850671563
"12","10167",0.94,36.6,40.8,3842,689,21.7270737444,32.3694609389848
"13","10169",0.93,34.4,41.7,3517,631,31.6460885106,34.0443634586618
"14","10172",0.94,36.5,43.3,4390,669,21.6792950171,31.2461299881587
"15","10202",0.91,28.7,33.4,3478,850,32.146627691,43.291579532501
"16","1021",0.94,40.8,43.1,6552,1111,39.2672828632,33.7435364535887
"17","10223",0.96,42,47.4,5148,600,22.2486608663,25.1176592179663
"18","10224",0.96,43.3,48.6,5531,585,19.6429660005,25.2914872021569
"19","10266",0.96,42.5,48.9,4804,562,24.2377764412,26.3180016187495
"20","10274",0.97,48.1,55.2,4621,495,27.0035580947,25.4631240595746
"21","10290",0.88,26.6,30.9,2659,820,37.9375350925,56.4688376444357
"22","10292",0.88,24.6,28.8,2657,868,41.4292603666,60.884777595199
"23","10297",0.93,32.9,37.2,3452,761,31.9429518202,38.0136335979556
"24","10306",0.96,40.9,48.2,4548,587,27.966828899,25.9586093869492
"25","10314",0.96,47.4,54.3,5020,489,22.898641515,25.7059573422215
"26","10330",0.976914,58.33743,65.37503,5908.628831,390.803511,18.5495776864,19.9428561389533
"27","10337",0.91,27,32.7,2999,821,37.4080739249,45.6883911373786
"28","10343",0.92,32.4,37.3,3289,726,35.0380597586,38.1421378228681
"29","10355",0.96,47,54.4,4351,506,27.9490727895,28.4078549762607
"30","1037",0.95,45.9,49.3,7062,951,32.7884173346,27.9860517483372
"31","10373",0.973581,54.47894,61.21891,5646.069963,432.125023,19.341546991,20.8872529641218
"32","10378",0.97782,59.54014,66.54469,5951.443142,379.963569,17.8709599011,20.3936545372297
"33","1042",0.88,29.2,30.5,3766,1353,83.7736450485,65.7088198276293
"34","1044",0.89,29.2,30.5,3823,1394,73.9631160936,72.3061450496158
"35","1055",0.89,33.5,35,3932,1321,47.4612058215,60.4157360252896
"36","1066",0.91,39.5,40.9,3952,1134,41.2783853151,47.6853765394432
"37","1067",0.93,41,41.8,5140,1143,29.2481161666,46.0009268359346
"38","1073",0.92,42.8,44.2,5401,1199,42.2902435849,47.11844883565
"39","1091",0.83,29.5,29.8,2250,1208,96.1037622567,86.2247671544431
"40","1092",0.83,29.2,30.6,2258,1186,80.8131715265,81.0724971489769
"41","10934",0.89,21,22.4,4354,1513,70.5864077808,56.8501658431854
"42","10945",0.94,25.2,27.1,6210,1160,38.849292621,37.9998518020445
"43","10960",0.95,30.2,32.3,7011,972,29.6922851206,28.3420745103827
"44","10978",0.87,20.1,22.1,4278,1741,95.3132205673,64.3478156040501
"45","1099",0.92,37.6,39.4,5965,1264,52.136906173,45.4626381818901
"46","10995",0.74,28.7,29.4,2145,1041,73.6072045194,80.4238704501638
"47","10999",0.94,38.2,39.6,6879,1076,29.2510058533,33.0293286140606
"48","11000",0.9,18.2,19.5,4681,1473,63.3452766848,45.6588031993877
"49","11001",0.73,28.7,29.2,1853,968,71.9749188219,79.9011068564366
"50","11002",0.92,27.6,29.2,5253,1145,45.4915983434,44.2157830587536
"51","11008",0.86,19.6,21.6,4078,1390,72.1919743016,68.2431955393387
"52","11018",0.83,12,13.3,3504,1784,93.8724797702,75.4003363211252
"53","11033",0.95,31.1,34.8,7039,955,29.2322182446,28.2852503354172
"54","11034",0.96,31.1,35.9,7439,904,25.8585771084,25.0363874706312
"55","11038",0.96,34.3,36.8,7201,838,25.196143236,25.4301575133345
"56","11049",0.88,17.1,18.3,4317,1565,71.957916741,60.9800555599769
"57","11056",0.92,25.5,28,6431,1167,33.2198370349,36.5046363617712
"58","11067",0.59,4.9,10.2,1180,1549,98.1315942736,152.101404209002
"59","1107",0.9,29.3,31,4896,1457,71.2920631955,64.8702600688535
"60","11071",0.86,11.9,20.6,3860,1718,36.0170205152,68.147677231418
"61","11093",0.94,20.8,33.5,6675,1172,27.1210293143,33.7091330966392
"62","11094",0.95,21.2,33.8,6991,1094,23.2285652867,30.9098842404739
"63","11098",0.95,21.2,33.1,6740,1046,23.2757560461,30.4846183224825
"64","11111",0.81,10.2,15.5,3460,1979,54.3884354278,76.0652363976312
"65","11116",0.86,12.3,16.3,4371,1587,73.8831885814,68.8646339855994
"66","11137",0.83,13.1,14.4,3995,1814,77.0915226504,80.3581715091785
"67","11159",0.88,11.1,20.9,4524,1744,63.0339728667,69.6591050978908
"68","1116",0.93,36.4,38.3,5112,1234,70.4603920641,50.2881463467826
"69","11180",0.94,19.2,28.7,6396,1093,35.0538514936,33.4481232223066
"70","11201",0.96,27.4,40.4,7094,745,23.6550422407,23.7947261655751
"71","11252",0.97,31.2,47.1,8080,673,20.9372409988,21.2745202563323
"72","11256",0.86,13.8,21.6,4027,1501,76.7932981533,64.9131522573336
"73","11268",0.93,15.1,27.2,5999,1248,35.7044495332,41.5646805723248
"74","11304",0.87,13.4,24.4,4864,1444,50.7435736798,58.162415163769
"75","11322",0.92,13.5,25,5649,1381,54.8246925853,45.0032443486422
"76","11339",0.94,17.8,33.7,7114,1044,32.2555561565,32.3509141414906
"77","11346",0.96,21,38.9,6191,821,19.9250831411,26.6497629861909
"78","11349",0.79,7.5,13.9,3510,1968,100.1154089833,109.278856548217
"79","1136",0.94,44.6,47.5,6415,1021,35.2425374535,31.3935584862516
"80","11366",0.77,12.7,14.8,2727,1723,96.7803067177,106.182135871591
"81","11375",0.95,19.9,31.2,6609,1132,41.6004800446,33.0290084619672
"82","11379",0.92,19.4,26.7,5995,1331,51.2025507307,42.9557624988092
"83","11384",0.95,21.8,31,6678,1099,40.3189479956,30.2489684542293
"84","11390",0.95,24.1,33.9,7843,1056,29.1503333113,27.8822745039204
"85","11396",0.95,27.6,40.5,8735,849,22.0748594943,23.9200026946313
"86","114",0.66,4.4,7.3,1559,1127,231.8353992647,180.033265922337
"87","11413",0.93,17.5,27,6427,1384,41.3963259162,42.9671626191124
"88","11417",0.93,17.9,26.4,6031,1390,59.4517799566,43.0753963515278
"89","11423",0.95,17.9,25.6,6328,1333,49.3420450412,38.8534250831033
"90","1145",0.88,26.8,27.7,3542,1454,112.2058941224,71.2007486011375
"91","11468",0.94,19.8,31,6244,1109,34.8776442625,35.5099509079405
"92","11469",0.94,21.4,32.9,5708,1072,28.5559096528,38.78726439759
"93","11495",0.87,13.3,18.2,4163,1646,70.853150167,61.465291076886
"94","11502",0.9,16.9,24.5,5707,1387,46.1667300612,46.7132085820027
"95","11512",0.93,23.3,29.4,5989,1085,37.8822106661,36.9894806077048
"96","1152",0.79,26.5,27.9,2141,1211,97.9496697806,88.7280361807528
"97","11521",0.87,12.4,19.9,5172,1633,56.0013054747,60.2860290711974
"98","11559",0.92,19.4,24,5736,1371,45.157579655,47.1290135900292
"99","11562",0.92,19.1,27.3,5575,1246,49.9274325501,43.5124966137914
"100","11563",0.92,19.6,27.3,6000,1233,41.6170995858,45.2228139672062
"101","11570",0.93,20.8,28.5,6305,1137,27.8797860267,35.6796057481991
"102","11587",0.96,29.6,41.4,8185,765,21.4783832169,22.4097168530206
"103","11625",0.94,34.3,37.4,6441,1055,25.3988427078,34.3161902988047
"104","11628",0.84,18.6,21.2,3161,1638,48.9896651372,82.953775088519
"105","11630",0.95,38.1,41.3,6468,949,27.3279359588,29.5795625497393
"106","11635",0.96,44.2,48.3,7200,761,21.5011082748,26.2784951487839
"107","11654",0.8,13.7,14.6,2781,1536,85.9640893269,97.6517713165656
"108","11659",0.94,31.5,33,6193,1136,44.9372162327,40.0508457244498
"109","11665",0.87,19.8,20.8,3420,1330,82.3394120448,72.4371972161733
"110","11671",0.95,35.8,38,7048,1016,23.8914049221,29.5714754748537
