%IncMSE,IncNodePurity,varnames,midpoints
20.798733476944708,48474.16182925177,"-Inf to
-10.4",-Inf
3.534584126714551,1059.8058225435248,"-5.7 to
-5.4",-5.55
5.377928252197212,1281.2439774483926,"-5.4 to
-5.1",-5.25
3.660125130189114,3105.2012901551975,"-5.1 to
-4.9",-5
4.073099053154249,1308.7331545552918,"-4.9 to
-4.7",-4.8
-0.6614213055579402,1470.3688064808948,"-4.7 to
-4.5",-4.6
1.7666118041378553,857.2575025799251,"-4.5 to
-4.3",-4.4
2.6182611454996443,7343.334629442978,"-4.3 to
-4.1",-4.2
4.736810432502543,5198.631907368844,"-4.1 to
-3.9",-4
3.291813523882654,12822.373081262791,"-3.9 to
-3.7",-3.8
1.9183290136893152,9561.818583413957,"-3.7 to
-3.5",-3.6
10.788218219573688,8504.948368973604,"-10.4 to
-9",-9.7
2.428812720003356,5195.29272015209,"-3.5 to
-3.3",-3.4
5.4656088837632,20152.34623402671,"-3.3 to
-3.1",-3.2
3.3538255466112776,8400.254430219602,"-3.1 to
-2.9",-3
3.155270438920877,7260.975129626914,"-2.9 to
-2.7",-2.8
3.888192239913352,5957.069046331223,"-2.7 to
-2.5",-2.6
2.7268466261600253,6863.070067597067,"-2.5 to
-2.3",-2.4
2.4850699852190843,1024.3010069722607,"-2.3 to
-2.2",-2.25
1.884162336821151,1148.9708876528682,"-2.2 to
-2.1",-2.15
2.2881142944119714,3131.898830340981,"-2.1 to
-2",-2.05
0.04897468759131199,1593.2366902291337,"-2 to
-1.9",-1.95
4.5691368907572345,3252.613619248213,"-9 to
-8.2",-8.6
4.693719866611539,2631.9474629398615,"-1.9 to
-1.8",-1.85
1.4051532761372107,1830.7996585685162,"-1.8 to
-1.7",-1.75
1.722375015573263,1476.106032970702,"-1.7 to
-1.6",-1.65
2.150068533514451,4294.358385858736,"-1.6 to
-1.5",-1.55
-0.13914812058227818,480.3526938872045,"-1.5 to
-1.4",-1.45
1.3122318595601923,439.1917263446429,"-1.4 to
-1.3",-1.35
4.148343653962813,814.4563930905372,"-1.3 to
-1.2",-1.25
0.7299687253506968,474.23090318426756,"-1.2 to
-1.1",-1.15
3.003824413307854,662.3745183780638,"-1.1 to
-1",-1.05
3.516701998607909,1135.5231267558506,"-1 to
-0.9",-0.95
3.700885379929307,2099.2779843871117,"-8.2 to
-7.6",-7.9
1.4866528519793163,1206.8623343884965,"-0.9 to
-0.8",-0.85
0.7660364267114513,541.0858688067448,"-0.8 to
-0.7",-0.75
2.790175083860624,1325.4301474848296,"-0.7 to
-0.6",-0.65
1.8312939751996382,742.123559836012,"-0.6 to
-0.5",-0.55
1.32809645019229,806.7077416598249,"-0.5 to
-0.4",-0.45
2.3042570223531875,515.644603205295,"-0.4 to
-0.3",-0.35
3.659904584454495,540.4316129721709,"-0.3 to
-0.2",-0.25
1.65483000598039,744.8158088911082,"-0.2 to
-0.1",-0.15
0.5620270977395619,509.73159637854843,"-0.1 to
0",-0.05
2.9443684669757086,1557.6090420165851,"-7.6 to
-7.1",-7.35
2.3245799896552595,866.1760282865188,"-7.1 to
-6.7",-6.9
2.4317106246706595,1285.4094289780185,"-6.7 to
-6.3",-6.5
4.095059259927668,2086.506524581706,"-6.3 to
-6",-6.15
1.6438065177207923,2009.4779440758532,"-6 to
-5.7",-5.85
12.622818339893088,53651.81301967785,Inf,2
1.6301883492316391,1044.6515371932269,VSA,VSA
4.049400547473445,4906.332248500471,GSA,GSA
2.2642653039571905,1340.5813099410996,PLD,PLD
0.9869021580478246,1640.363252200343,LCD,LCD
10.122412261188812,10662.86066218894,Min,Min
10.849150257554395,50573.853389298165,Median,Median
5.824456918378934,3459.1310728019585,Q1,Q1
