"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"1","10",0.85,11.4,14.1,4856,2110,7.4363929983,-1643.93,-169.239,-430.804,8.14116954890884
"2","10014",0.94,17.5,32.7,6440,1068,3.4835102827,-1391.91,-34.03055,-179.39925,3.50520043862441
"3","10035",0.96,22.6,42.9,8537,757,2.2506772638,-1325.36,-11.4943,-82.9847,2.28707780906181
"4","10061",0.95,19.9,36.8,7396,949,3.5982840171,-1551.35,-21.3733,-142.482,3.50872018499209
"5","1009",0.91,30.3,32.2,4980,1427,6.1505192944,-1684.28,-51.4176,-294.662,6.36098231212707
"6","10092",0.98,31.2,54,7397,511,1.6467233818,-1257.94,-1.58411,-36.1103,1.68448504013456
"7","10094",0.98,32.2,57,9589,494,1.6651247338,-1011.58,-0.863743,-33.2621,1.65770642653767
"8","10097",0.92,14.3,25,6182,1276,4.4258905468,-1436.7,-54.9305,-236.99775,4.31724155653675
"9","10119",0.97,54.3,60,4332,428,1.6708227167,-1871.37,0,-9.08724,1.82719326732648
"10","1012",0.92,35.9,36.7,5933,1286,4.9574974788,-1816.4,-40.0298,-253.242,5.20930499749195
"11","10140",0.97837,68.28739,74.78838,5050.149057,316.799703,1.410569198,-1776.69,0,-1.93876,1.58211913126469
"12","10160",0.77,14.9,20,1896,1261,5.071806109,-1969.73,-50.731,-201.203,11.4802017148835
"13","10162",0.93,32.9,37.7,3691,730,4.6800839138,-1942.2,-3.47664,-61.133425,4.31397779860798
"14","10167",0.94,36.6,40.8,3842,689,2.2048689742,-1652.03,-1.92533,-45.0481,2.75197788366693
"15","10198",0.89,27.7,32.4,2607,782,8.7235806855,-2528.23,-11.58775,-98.088575,9.10354389156709
"16","10206",0.93,33.3,39.8,3574,738,3.5539252605,-1972.57,-3.954505,-59.959,4.09539288488324
"17","10223",0.96,42,47.4,5148,600,2.3343631983,-1948.01,-0.129777,-28.02255,2.46534612346611
"18","10226",0.96,48.1,56.3,4305,475,3.4094950477,-2499.36,0,-20.084525,3.85658463685396
"19","10244",0.88,24.8,29.6,2623,865,7.8117551169,-2298.56,-13.3863,-108.24225,8.59284853118556
"20","10267",0.86,20.6,26.1,2479,1013,8.4765996061,-2230.85,-26.8604,-148.92575,10.1326369865699
"21","1027",0.94,41.7,44.1,7430,1148,3.1751313707,-1681.44,-26.9248,-177.027,3.53602681456544
"22","10272",0.96,44,49.2,5613,587,1.9755620497,-1600.1,0,-27.12455,2.15702475757909
"23","10284",0.97,54.1,59.2,5056,425,1.5164274896,-1603.48,0,-13.0812,1.68426442378268
"24","10294",0.91,31.8,37.1,3103,701,5.9027797332,-2187.38,-4.83253,-68.3161,5.75324243766537
"25","10302",0.95,37.7,45.1,3860,627,3.3380702174,-2132.83,-0.7856335,-41.187175,3.30857262408602
"26","10310",0.96,45.3,50.9,4823,537,2.6111826957,-1919.68,0,-25.6913,2.50214731884337
"27","10318",0.97,46.8,53.7,5519,534,2.2756476131,-1917.91,0,-21.1294,2.23001295587943
