%IncMSE,IncNodePurity,varnames,midpoints
21.081904951236584,51651.99686921512,"-Inf to
-10.4",-Inf
1.7221774508055319,1089.0986298180355,"-5.7 to
-5.4",-5.55
5.951408089440381,2031.9627353765702,"-5.4 to
-5.1",-5.25
3.8424252195988275,3321.021277413916,"-5.1 to
-4.9",-5
3.270609583717665,1859.7214896110845,"-4.9 to
-4.7",-4.8
1.5136452205147077,1922.0815390728887,"-4.7 to
-4.5",-4.6
2.3332895389030885,1635.3284666520037,"-4.5 to
-4.3",-4.4
3.1943928011507152,9306.725357108477,"-4.3 to
-4.1",-4.2
5.331531493925109,8899.658924089266,"-4.1 to
-3.9",-4
3.92462292979022,16852.10718287508,"-3.9 to
-3.7",-3.8
3.7387152466370788,13412.378329453399,"-3.7 to
-3.5",-3.6
12.512667339740467,10867.293583932476,"-10.4 to
-9",-9.7
3.1387719287723153,9766.003865964434,"-3.5 to
-3.3",-3.4
5.614032698041669,24102.162096327625,"-3.3 to
-3.1",-3.2
3.5601198171225876,10563.09861922466,"-3.1 to
-2.9",-3
3.013068000832429,5403.467512340877,"-2.9 to
-2.7",-2.8
5.1802293628805325,7747.9415689443595,"-2.7 to
-2.5",-2.6
4.379042775298106,12639.543228444396,"-2.5 to
-2.3",-2.4
4.113313387367892,2411.3481966355307,"-2.3 to
-2.2",-2.25
1.594286401021698,1799.5405774513629,"-2.2 to
-2.1",-2.15
3.905004846146479,1960.8699959828662,"-2.1 to
-2",-2.05
1.1028132511485156,2396.5535324793045,"-2 to
-1.9",-1.95
6.4779538078994445,4695.979300325986,"-9 to
-8.2",-8.6
4.310966362679064,3388.0378563451563,"-1.9 to
-1.8",-1.85
2.0080255352378256,2352.5824697548746,"-1.8 to
-1.7",-1.75
1.2741316076340898,1606.495740880001,"-1.7 to
-1.6",-1.65
2.529144207227397,5021.875024808102,"-1.6 to
-1.5",-1.55
1.1791150535526314,1007.7813941224161,"-1.5 to
-1.4",-1.45
2.7639938861825835,880.2907242169498,"-1.4 to
-1.3",-1.35
3.7999230957211556,1433.9595270453588,"-1.3 to
-1.2",-1.25
3.34309276644814,882.6707150215681,"-1.2 to
-1.1",-1.15
2.4124147715062136,1483.2056367357807,"-1.1 to
-1",-1.05
3.539872586637424,801.7922307525631,"-1 to
-0.9",-0.95
5.620860348356048,3973.656680590068,"-8.2 to
-7.6",-7.9
1.9305240749145414,1544.7994986613141,"-0.9 to
-0.8",-0.85
2.8806231976820293,985.0262091561502,"-0.8 to
-0.7",-0.75
3.994223475384515,2096.0256404846377,"-0.7 to
-0.6",-0.65
2.6794713444218545,1065.3810021026213,"-0.6 to
-0.5",-0.55
2.5277319320184484,1020.4083100907862,"-0.5 to
-0.4",-0.45
1.5522918331631756,581.5139529988904,"-0.4 to
-0.3",-0.35
2.8250027945241567,636.1098542089778,"-0.3 to
-0.2",-0.25
2.2196655293575276,906.2769501127392,"-0.2 to
-0.1",-0.15
0.31972584523169917,897.4449957035323,"-0.1 to
0",-0.05
4.897272704643988,1991.8803186739156,"-7.6 to
-7.1",-7.35
3.2022951300386913,1102.90691953119,"-7.1 to
-6.7",-6.9
2.6707233340372762,1417.9900523617196,"-6.7 to
-6.3",-6.5
4.910188485514073,3662.868890050303,"-6.3 to
-6",-6.15
3.932470851993049,1928.4993160888469,"-6 to
-5.7",-5.85
15.260966407339508,70029.83405901513,Inf,2
