%IncMSE,IncNodePurity,varnames,midpoints
10.538271679374652,5103.18209501142,"-Inf to
-8.9",-Inf
5.628829979201798,3767.1069075345576,"-5 to
-4.8",-4.9
3.9940216856216155,3634.9948920619663,"-4.8 to
-4.6",-4.7
5.928622925889813,10897.682433488055,"-4.6 to
-4.4",-4.5
5.833892039999056,14300.951609337531,"-4.4 to
-4.2",-4.3
9.362440722969703,157669.1852420136,"-4.2 to
-4",-4.1
9.872061348699043,152907.30616653783,"-4 to
-3.8",-3.9
2.9608059623538203,12136.606474241251,"-3.8 to
-3.6",-3.7
3.831359465003066,16286.424947075808,"-3.6 to
-3.4",-3.5
8.248146480095535,101940.49043865039,"-3.4 to
-3.2",-3.3
5.631180946465004,40676.20501804828,"-3.2 to
-3.1",-3.15
7.7191397793854915,8252.255658242406,"-8.9 to
-7.8",-8.35
4.2700801632098715,17658.38165952629,"-3.1 to
-3",-3.05
3.819213609702708,11656.021132298361,"-3 to
-2.9",-2.95
10.605261006543799,149017.46074978224,"-2.9 to
-2.8",-2.85
5.569426961421822,35384.47313866954,"-2.8 to
-2.7",-2.75
6.798507855797062,65300.90574296634,"-2.7 to
-2.6",-2.65
4.144155093556822,9219.316931374637,"-2.6 to
-2.5",-2.55
4.913589776105049,10362.642258146187,"-2.5 to
-2.4",-2.45
4.407614185049788,10242.303701584784,"-2.4 to
-2.3",-2.35
5.229848343491771,31690.513499883367,"-2.3 to
-2.2",-2.25
4.324562061240527,5934.5632585768935,"-2.2 to
-2.1",-2.15
9.403424186411263,9648.42425629568,"-7.8 to
-7.1",-7.45
6.133362944577163,21036.3737902824,"-2.1 to
-2",-2.05
4.212767695727475,7916.514936125634,"-2 to
-1.9",-1.95
4.497487502894577,22660.051776757617,"-1.9 to
-1.8",-1.85
4.367916977644357,5628.719535560222,"-1.8 to
-1.7",-1.75
4.813091014100257,4097.458125213154,"-1.7 to
-1.6",-1.65
4.1061558705959484,5250.899329589519,"-1.6 to
-1.5",-1.55
3.7679366745567493,5726.747193785867,"-1.5 to
-1.4",-1.45
3.6448691607331676,4574.913631091414,"-1.4 to
-1.3",-1.35
6.219686816242733,4493.266444903589,"-1.3 to
-1.2",-1.25
4.818336205295761,3257.630849312744,"-1.2 to
-1.1",-1.15
7.680530866267746,9083.554129243726,"-7.1 to
-6.6",-6.85
4.784380960661506,9177.252777523063,"-1.1 to
-1",-1.05
4.496907409989571,4893.9490738099785,"-1 to
-0.9",-0.95
7.3084507332185655,16507.40796692103,"-0.9 to
-0.8",-0.85
7.366751624258709,12207.022528539424,"-0.8 to
-0.7",-0.75
10.294827491965878,10715.178460211151,"-0.7 to
-0.6",-0.65
8.184089244810448,7652.028927932065,"-0.6 to
-0.5",-0.55
9.253348334032033,8618.881948357843,"-0.5 to
-0.4",-0.45
7.294675322455165,5371.786956544539,"-0.4 to
-0.3",-0.35
11.101691842130688,10477.253886346052,"-0.3 to
-0.2",-0.25
12.392229657350093,11349.886967620587,"-0.2 to
-0.1",-0.15
8.689844541569402,13069.08747469861,"-6.6 to
-6.2",-6.4
14.768233486809951,21898.675979300548,"-0.1 to
0",-0.05
9.278174958140513,28792.9996266782,"-6.2 to
-5.9",-6.05
9.919878962952273,24179.05546740515,"-5.9 to
-5.6",-5.75
7.613680233263979,20120.41477093334,"-5.6 to
-5.3",-5.45
5.269245710758148,6780.252827477377,"-5.3 to
-5",-5.15
17.921242152676562,30685.77723184977,Inf,2
16.001871305716744,47206.98204423633,VSA,VSA
40.292061458882046,49757.01286053898,GSA,GSA
29.494842197907158,39155.8017898507,PLD,PLD
32.85199593206225,70435.91810625489,LCD,LCD
