"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"1","10011",0.93,14.8,28.3,7378,1238,223.1231098,222.28747658428
"2","10038",0.9,10.7,22.8,6475,1586,219.1781845,219.689918549672
"3","10047",0.91,11.4,23.3,5873,1454,220.7070212,220.148422804638
"4","10060",0.95,18.2,35.2,8266,949,220.3279071,221.331021783011
"5","1007",0.92,31.9,34.8,5766,1352,216.8592579,215.406374511454
"6","10075",0.92,13.6,24.9,6372,1319,222.3326601,221.771598483784
"7","10091",0.98,31.9,53.3,8131,529,88.62306509,85.9965727067246
"8","10100",0.92,16.2,28.2,6081,1238,218.4167529,220.719375284861
"9","10158",0.91,29.2,34.1,2982,788,199.7034684,187.103720148343
"10","10161",0.92,32.4,38.7,3480,723,108.8395997,176.606685232624
"11","10172",0.94,36.5,43.3,4390,669,77.50044808,115.281967479775
"12","10203",0.91,27.2,33.4,3548,878,202.5148133,203.307101598548
"13","10210",0.95,36,42.8,4161,669,97.35363934,116.719483180242
"14","10212",0.95,42.4,47.2,4209,592,88.01061719,101.09368303264
"15","10250",0.92,28.9,33.9,3513,839,203.3419849,194.624406491057
"16","10264",0.96,40,43.9,5173,628,69.54206288,111.859837821449
"17","1027",0.94,41.7,44.1,7430,1148,179.4266263,177.121793504007
"18","10289",0.88,23.5,28.2,2652,939,201.6442508,199.69997155138
"19","10291",0.87,24,28.4,2715,884,200.8966721,202.010478675299
"20","10312",0.97,44,48.5,5459,557,67.07389214,99.6539849828227
"21","1040",0.96,50.5,54.8,7642,837,155.6169636,151.2712107774
"22","1058",0.9,35.8,36.9,4140,1247,207.0981051,203.224694736232
"23","1062",0.9,38.1,39.6,3853,1181,205.8086748,204.553607963254
"24","1065",0.91,40.5,41.7,4276,1133,198.3564801,199.971738360462
"25","108",0.62,5.5,8,1008,798,144.049213,120.288752848325
"26","1082",0.93,46,47.2,5153,1031,157.7271454,165.622055017756
"27","10929",0.92,23.5,25,5666,1336,220.9183512,218.140518313036
"28","10930",0.93,25.5,26.6,5706,1282,220.471582,218.546065332801
"29","10940",0.91,20.7,21.9,5408,1399,219.3338783,218.110823899279
"30","10956",0.95,29.9,31.8,6965,957,219.8757308,215.573369774627
"31","10972",0.96,38.8,42.4,7380,698,133.3256037,163.068966607794
"32","1098",0.91,42.7,44,5662,1110,155.6466096,172.569668039045
"33","10991",0.92,29.2,30.9,5053,1212,218.2369144,214.082038264721
"34","11001",0.73,28.7,29.2,1853,968,170.1157194,171.830397789553
"35","1101",0.83,20.7,21.9,2769,1466,198.7339936,199.47165116526
"36","11016",0.93,27.2,29.5,5163,1187,218.4205938,215.443969560559
"37","11017",0.93,25.7,29.3,6312,1157,220.1040871,219.272723550783
"38","11019",0.94,29.3,31,6064,1074,219.9297146,216.500672914456
"39","11022",0.95,32.7,35,5968,982,218.7794432,212.624694886591
"40","11023",0.95,33.3,35.2,6453,982,216.9141758,212.526719500381
"41","11039",0.96,38.1,40.4,7168,794,167.0764619,176.506065779949
"42","1105",0.88,27.5,29.2,4252,1479,210.489707,209.567357159476
"43","11059",0.95,35.5,39.4,7081,783,152.3481724,178.903226734018
"44","11065",0.94,27.5,30.9,6200,1000,215.1768637,217.495234837399
"45","11066",0.82,16.3,17.4,3307,1523,197.9514033,199.102498918337
"46","11071",0.86,11.9,20.6,3860,1718,200.3078114,207.945450700902
"47","11079",0.92,16.8,26.8,5888,1429,220.7544849,220.109576211422
"48","11089",0.79,8.5,15,3151,1973,190.1788735,192.430029428187
"49","1109",0.92,32.6,34.8,5443,1357,217.3776166,212.609993515308
"50","11097",0.95,20.4,34.3,6740,1027,216.6199898,221.227741463625
"51","11104",0.96,26.1,41.5,6991,810,213.9443825,209.913089553416
"52","11111",0.81,10.2,15.5,3460,1979,193.0922213,196.319325758236
"53","11119",0.88,14.3,15.6,4627,1861,208.3015069,211.833267357308
"54","11140",0.95,21.4,34.9,7745,1108,222.303969,220.767713546569
"55","11155",0.96,30,43.7,8529,695,178.7912917,158.751624334517
"56","11160",0.85,12.6,22.2,4197,1568,213.8176275,207.328450960015
"57","11162",0.86,10.7,18.3,4291,1693,207.057214,209.594479882317
"58","11163",0.77,6.7,9.4,2062,1846,177.9521267,175.460962134906
"59","11184",0.95,21.4,30.5,7177,1020,222.7914676,220.383276615668
"60","1119",0.93,37.4,40.2,5658,1191,211.6652356,208.985456787577
