%IncMSE,IncNodePurity,varnames,midpoints
10.112734143421305,15655.004351037522,"-Inf to
-8.6",-Inf
6.781692404268686,108141.8079379616,"-4.8 to
-4.6",-4.7
7.2122691185062555,95972.5195213172,"-4.6 to
-4.4",-4.5
9.299201864234877,6460.203151475892,"-4.4 to
-4.2",-4.3
5.29341940708492,6815.884664277778,"-4.2 to
-4",-4.1
6.020496754715837,9987.838969391663,"-4 to
-3.8",-3.9
4.492296107767758,7706.291204811577,"-3.8 to
-3.6",-3.7
7.549853944880399,9481.427356514436,"-3.6 to
-3.4",-3.5
8.248129599604617,4880.376293565549,"-3.4 to
-3.2",-3.3
5.178958312751973,3103.3893756914536,"-3.2 to
-3",-3.1
4.007318371672031,1803.1940873361282,"-3 to
-2.9",-2.95
16.990474659669577,64877.235363207,"-8.6 to
-7.5",-8.05
4.926941567987255,2019.395025721979,"-2.9 to
-2.8",-2.85
5.129934244047016,3809.477456092878,"-2.8 to
-2.7",-2.75
6.226072070425463,2957.6030442133783,"-2.7 to
-2.6",-2.65
5.086640015748387,2377.1417008407147,"-2.6 to
-2.5",-2.55
6.319674424891723,1823.6194640995004,"-2.5 to
-2.4",-2.45
6.3434531929630955,3603.329281417276,"-2.4 to
-2.3",-2.35
6.777469316928266,3149.734681629989,"-2.3 to
-2.2",-2.25
5.515828963291407,2650.1481718817095,"-2.2 to
-2.1",-2.15
6.380319069046431,3049.6354612088417,"-2.1 to
-2",-2.05
4.981733941110307,1856.8276820560193,"-2 to
-1.9",-1.95
16.246419074813623,55667.682205960395,"-7.5 to
-6.8",-7.15
4.998347116117258,3011.070086549696,"-1.9 to
-1.8",-1.85
4.400426087154419,2394.6657330398375,"-1.8 to
-1.7",-1.75
6.063063165913739,3298.3246724810824,"-1.7 to
-1.6",-1.65
7.613399016609413,3224.2871859425363,"-1.6 to
-1.5",-1.55
8.978198517953285,4284.367573823242,"-1.5 to
-1.4",-1.45
3.7909157033268737,2879.558864013978,"-1.4 to
-1.3",-1.35
5.377550067560646,3043.399246392348,"-1.3 to
-1.2",-1.25
6.354368491017163,2304.897057124338,"-1.2 to
-1.1",-1.15
5.971085751978157,3984.2884950216735,"-1.1 to
-1",-1.05
5.436542761104578,2849.8776090636334,"-1 to
-0.9",-0.95
10.874268621265784,26665.891828233034,"-6.8 to
-6.3",-6.55
6.362153597993326,3800.577145915407,"-0.9 to
-0.8",-0.85
5.943666357180284,2972.109915941945,"-0.8 to
-0.7",-0.75
6.515832738313405,4736.131343294252,"-0.7 to
-0.6",-0.65
4.517433724856122,2634.4792129713865,"-0.6 to
-0.5",-0.55
4.463412507864241,3190.0765028546166,"-0.5 to
-0.4",-0.45
4.362943368341602,3307.3397103194516,"-0.4 to
-0.3",-0.35
6.8580750087180755,4260.282235606994,"-0.3 to
-0.2",-0.25
9.816371699307373,6619.279590183847,"-0.2 to
-0.1",-0.15
17.08081862712107,211860.10501070388,"-0.1 to
0",-0.05
8.338251359116699,20345.81329404314,"-6.3 to
-5.9",-6.1
8.809994097054133,91882.79581636518,"-5.9 to
-5.6",-5.75
7.96364108173226,95754.27588083307,"-5.6 to
-5.3",-5.45
8.99301824300259,251413.51332765692,"-5.3 to
-5",-5.15
10.456755224099405,207715.4286387869,"-5 to
-4.8",-4.9
9.216472533880767,101622.58797452453,Inf,2
15.81563550134279,698306.0156574196,VSA,VSA
29.279527984460238,35506.502377317316,GSA,GSA
8.710525377163888,16813.46433453167,PLD,PLD
14.033940580403483,12949.222961343383,LCD,LCD
6.531894125127923,3589.9329768671523,Min,Min
18.35892639783421,195910.65222718066,Median,Median
21.12027535435395,963783.236477499,Q1,Q1
