%IncMSE,IncNodePurity,varnames,midpoints
11.488427736074632,24121.129529239974,"-Inf to
-8.6",-Inf
10.917009588596809,334328.3301544386,"-4.8 to
-4.6",-4.7
12.487649992279101,289531.0238087712,"-4.6 to
-4.4",-4.5
7.133158576346595,32169.80636601697,"-4.4 to
-4.2",-4.3
8.190501277163174,25964.66200871287,"-4.2 to
-4",-4.1
8.326377836397759,34188.97187496842,"-4 to
-3.8",-3.9
8.06181629117354,27370.74981084482,"-3.8 to
-3.6",-3.7
9.850725359466988,27445.446507002805,"-3.6 to
-3.4",-3.5
7.232371303907988,19241.635033522973,"-3.4 to
-3.2",-3.3
5.099551648950205,8963.494163295692,"-3.2 to
-3",-3.1
4.986248654771607,4095.8192777896415,"-3 to
-2.9",-2.95
13.602119500358668,74545.89649037964,"-8.6 to
-7.5",-8.05
4.589961969214594,3258.1093690580833,"-2.9 to
-2.8",-2.85
5.309236567777942,5719.24614448942,"-2.8 to
-2.7",-2.75
6.523230758345076,5054.717875742524,"-2.7 to
-2.6",-2.65
7.422497175676772,6206.546287130593,"-2.6 to
-2.5",-2.55
5.485429957647022,6057.74864597396,"-2.5 to
-2.4",-2.45
8.33067169466495,10368.127636637362,"-2.4 to
-2.3",-2.35
6.464468737713421,6258.149896839675,"-2.3 to
-2.2",-2.25
6.642349368642194,8765.198076986164,"-2.2 to
-2.1",-2.15
6.591295249412307,5510.527778357325,"-2.1 to
-2",-2.05
6.448809004870057,8638.130145327283,"-2 to
-1.9",-1.95
15.187541254493912,75997.1418195533,"-7.5 to
-6.8",-7.15
6.042880271124156,12470.7023775432,"-1.9 to
-1.8",-1.85
6.417719452999584,5484.617078437413,"-1.8 to
-1.7",-1.75
9.52155105260765,8067.140096761409,"-1.7 to
-1.6",-1.65
9.264168301601266,7502.164007492682,"-1.6 to
-1.5",-1.55
7.751137621457714,7185.346867949553,"-1.5 to
-1.4",-1.45
6.686722831350941,10696.834519947,"-1.4 to
-1.3",-1.35
6.679159722154199,5119.833722177577,"-1.3 to
-1.2",-1.25
6.576057505646716,7011.290206416015,"-1.2 to
-1.1",-1.15
7.904386845081623,14819.213466867972,"-1.1 to
-1",-1.05
7.163151277327933,9518.804018562096,"-1 to
-0.9",-0.95
11.131454492740694,51688.68105264186,"-6.8 to
-6.3",-6.55
9.143653198609792,9414.353243250476,"-0.9 to
-0.8",-0.85
7.2336876014697635,10923.163348076288,"-0.8 to
-0.7",-0.75
8.883342359911245,11384.288169243391,"-0.7 to
-0.6",-0.65
7.000733173833945,4318.795318050495,"-0.6 to
-0.5",-0.55
4.571681557561841,5851.3419372549815,"-0.5 to
-0.4",-0.45
3.2114111106417265,3840.028614021003,"-0.4 to
-0.3",-0.35
5.392643665262302,4734.206429735027,"-0.3 to
-0.2",-0.25
10.01078260237276,12327.467356186058,"-0.2 to
-0.1",-0.15
34.50001084487949,580222.7485219799,"-0.1 to
0",-0.05
9.64829294157019,89406.37817514226,"-6.3 to
-5.9",-6.1
11.498287658521122,118458.61133075294,"-5.9 to
-5.6",-5.75
9.759691880973435,171086.88862175666,"-5.6 to
-5.3",-5.45
11.992457282058748,457320.42503441405,"-5.3 to
-5",-5.15
14.370544942524957,504549.8107484628,"-5 to
-4.8",-4.9
16.125544448780037,259734.62350724835,Inf,2
