%IncMSE,IncNodePurity,varnames,midpoints
9.062008207636,23446.494522080073,"-Inf to
-10.7",-Inf
10.267991433549163,7468.016421354912,"-6 to
-5.7",-5.85
4.76856015689915,4169.100618215927,"-5.7 to
-5.4",-5.55
7.425387301846131,3157.4272363602095,"-5.4 to
-5.2",-5.3
7.7659791626342765,4223.572767772345,"-5.2 to
-5",-5.1
8.442365903928582,3072.936041990103,"-5 to
-4.8",-4.9
5.752470596283245,4650.640229863589,"-4.8 to
-4.6",-4.7
4.190471819937744,2813.0998634402254,"-4.6 to
-4.4",-4.5
2.279631920509143,2517.460976352741,"-4.4 to
-4.2",-4.3
5.0425482317265375,1982.6843541155768,"-4.2 to
-4",-4.1
5.871937053866335,2468.011415973689,"-4 to
-3.8",-3.9
17.460280634785732,123348.8122664883,"-10.7 to
-9.3",-10
5.294220703007789,2426.1009287157003,"-3.8 to
-3.6",-3.7
3.9988021443119295,2116.5237525749635,"-3.6 to
-3.4",-3.5
5.110746909742502,2074.713329156035,"-3.4 to
-3.2",-3.3
7.999203181911197,3155.087462722172,"-3.2 to
-3",-3.1
4.264074653678438,3193.8251270446644,"-3 to
-2.8",-2.9
3.4773725937315336,2520.115873250444,"-2.8 to
-2.6",-2.7
4.832500378327802,1997.7580889437072,"-2.6 to
-2.5",-2.55
3.0268925125633848,2958.369546059773,"-2.5 to
-2.4",-2.45
4.370705404857626,2886.612752368479,"-2.4 to
-2.3",-2.35
3.4689612726672743,1773.331276357605,"-2.3 to
-2.2",-2.25
13.302067382481777,205308.40451670336,"-9.3 to
-8.5",-8.9
6.5027613558441955,1756.4245347357755,"-2.2 to
-2.1",-2.15
4.833442539585259,2500.3189339204537,"-2.1 to
-2",-2.05
5.294018598045012,1725.8305841150996,"-2 to
-1.9",-1.95
2.9054681683995027,2423.9824956611146,"-1.9 to
-1.8",-1.85
6.256494052238741,1807.265074157266,"-1.8 to
-1.7",-1.75
3.5132879107088435,2599.3940917667874,"-1.7 to
-1.6",-1.65
5.0216361992982135,2146.7551047902157,"-1.6 to
-1.5",-1.55
3.629202185946843,1972.9523362161622,"-1.5 to
-1.4",-1.45
4.333889404234953,2074.190984579531,"-1.4 to
-1.3",-1.35
5.248499133164991,1865.509711285491,"-1.3 to
-1.2",-1.25
12.079581170288773,200768.2155353221,"-8.5 to
-7.9",-8.2
4.480781742813484,2131.4376008504896,"-1.2 to
-1.1",-1.15
2.05188932586562,2168.777292660831,"-1.1 to
-1",-1.05
1.5509219796925167,2008.8372804533858,"-1 to
-0.9",-0.95
4.1602970194595255,2481.9221620739127,"-0.9 to
-0.8",-0.85
3.3883330897000055,2369.1384413024275,"-0.8 to
-0.7",-0.75
6.23303545500476,4439.799934330373,"-0.7 to
-0.6",-0.65
6.031740446506434,6277.819449942674,"-0.6 to
-0.5",-0.55
7.347999289890929,17547.862326025832,"-0.5 to
-0.4",-0.45
12.534419023376563,73290.4747977581,"-0.4 to
-0.3",-0.35
11.107847245243855,169194.9966449924,"-0.3 to
-0.2",-0.25
13.051445799914807,313358.36065478384,"-7.9 to
-7.4",-7.65
10.432897936649912,270235.2677406787,"-0.2 to
-0.1",-0.15
9.26936268897927,16066.381220000949,"-0.1 to
0",-0.05
12.839122597922033,318014.9934507908,"-7.4 to
-7",-7.2
10.09926252573265,270005.97341600095,"-7 to
-6.6",-6.8
7.89355815633778,78171.82631248889,"-6.6 to
-6.3",-6.45
12.519907550881864,25122.42754143286,"-6.3 to
-6",-6.15
13.730993944388489,662709.9478273812,Inf,2
10.851725751416256,269996.9586253914,VSA,VSA
19.44231508123824,14954.525834385431,GSA,GSA
7.7470501225269555,20406.825846750115,PLD,PLD
5.142112417508453,7405.111444600333,LCD,LCD
7.885826402443565,3399.468851559184,Min,Min
11.989136915367533,25522.126259967517,Median,Median
22.357793698058213,1412757.7752524805,Q1,Q1
