%IncMSE,IncNodePurity,varnames,midpoints
10.23592364739579,21714.48093387755,"-Inf to
-10.7",-Inf
10.021539708467396,11054.577541757679,"-6 to
-5.7",-5.85
8.17490146325167,6866.1356950928775,"-5.7 to
-5.4",-5.55
8.165658457388373,3958.156950932932,"-5.4 to
-5.2",-5.3
8.308731008237647,5352.478873343483,"-5.2 to
-5",-5.1
8.071960633898373,4418.0510336442,"-5 to
-4.8",-4.9
8.220306448122454,4135.127359596863,"-4.8 to
-4.6",-4.7
5.898661017180259,2949.99632059642,"-4.6 to
-4.4",-4.5
4.8292247181124095,2678.6580266113106,"-4.4 to
-4.2",-4.3
4.505546374025958,2693.7255643160347,"-4.2 to
-4",-4.1
2.2749756185990235,2407.47071982772,"-4 to
-3.8",-3.9
14.665258059745668,153675.6363017071,"-10.7 to
-9.3",-10
5.084195008335712,3099.4157266396332,"-3.8 to
-3.6",-3.7
4.340890391349647,2216.956204378479,"-3.6 to
-3.4",-3.5
5.964119149553125,3328.1470502245566,"-3.4 to
-3.2",-3.3
5.636702080269627,3142.0912788008977,"-3.2 to
-3",-3.1
5.174098206239833,3502.1376024522906,"-3 to
-2.8",-2.9
6.271894214522212,2910.374257664277,"-2.8 to
-2.6",-2.7
5.836282635041722,3429.160492880928,"-2.6 to
-2.5",-2.55
2.8252095304606604,3408.906035744291,"-2.5 to
-2.4",-2.45
8.244753919004637,4237.484078656821,"-2.4 to
-2.3",-2.35
3.7434287960135864,2707.4804771459108,"-2.3 to
-2.2",-2.25
11.850629237783881,246690.3806268587,"-9.3 to
-8.5",-8.9
6.512542915872872,2898.6357642092157,"-2.2 to
-2.1",-2.15
6.361616910280185,3694.5430060083318,"-2.1 to
-2",-2.05
4.5997336973102545,2756.5676322902627,"-2 to
-1.9",-1.95
6.688040462000853,3169.563937456175,"-1.9 to
-1.8",-1.85
4.959840309223934,3022.7660975140866,"-1.8 to
-1.7",-1.75
2.924505715454207,2339.7437750720724,"-1.7 to
-1.6",-1.65
2.2374812854062434,1986.1388888036654,"-1.6 to
-1.5",-1.55
1.8693844024952295,2240.786025588534,"-1.5 to
-1.4",-1.45
2.09919105836657,2558.5931260382135,"-1.4 to
-1.3",-1.35
3.4430869512722078,2556.288926606226,"-1.3 to
-1.2",-1.25
14.567791387145874,276385.34128093364,"-8.5 to
-7.9",-8.2
3.777647583180015,2375.6258377472373,"-1.2 to
-1.1",-1.15
2.076497964134357,2000.451487335883,"-1.1 to
-1",-1.05
3.7788786684683995,2098.379498191846,"-1 to
-0.9",-0.95
2.2920413310085723,2367.0056329460635,"-0.9 to
-0.8",-0.85
3.3294030450450194,3214.607994004689,"-0.8 to
-0.7",-0.75
5.387827972876139,4777.777166046325,"-0.7 to
-0.6",-0.65
3.9080801574567197,7751.896778475449,"-0.6 to
-0.5",-0.55
10.093187291370365,22004.891637832152,"-0.5 to
-0.4",-0.45
16.254389173984674,115535.62443786881,"-0.4 to
-0.3",-0.35
13.758940042168655,225734.4465071154,"-0.3 to
-0.2",-0.25
15.946689303604321,550178.6849063357,"-7.9 to
-7.4",-7.65
13.905554925066836,584780.5663310884,"-0.2 to
-0.1",-0.15
9.21396957963732,41784.746585732464,"-0.1 to
0",-0.05
13.616662559222167,401819.94646628806,"-7.4 to
-7",-7.2
11.727202568196013,332393.81203497783,"-7 to
-6.6",-6.8
10.647844781346059,112625.8823693114,"-6.6 to
-6.3",-6.45
12.02648605181727,41848.6921668709,"-6.3 to
-6",-6.15
15.506634216899986,852626.1296106888,Inf,2
13.193395995826094,476079.99169502244,VSA,VSA
15.588193520651044,20270.387902172653,GSA,GSA
6.6477594681964804,17571.770148595166,PLD,PLD
6.062312323678224,8994.084691024887,LCD,LCD
