"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"1","10",0.85,11.4,14.1,4856,2110,26.6675325239,-1643.93,-169.239,-430.804,30.5621330101681
"2","10014",0.94,17.5,32.7,6440,1068,8.7555266015,-1391.91,-34.03055,-179.39925,8.90305226954072
"3","10035",0.96,22.6,42.9,8537,757,4.3559832002,-1325.36,-11.4943,-82.9847,4.47169033801025
"4","10061",0.95,19.9,36.8,7396,949,9.2820688447,-1551.35,-21.3733,-142.482,8.59572451243197
"5","1009",0.91,30.3,32.2,4980,1427,21.6879993689,-1684.28,-51.4176,-294.662,22.4866533836983
"6","10092",0.98,31.2,54,7397,511,2.6003401917,-1257.94,-1.58411,-36.1103,2.7335816772736
"7","10094",0.98,32.2,57,9589,494,2.602517927,-1011.58,-0.863743,-33.2621,2.62767630459595
"8","10097",0.92,14.3,25,6182,1276,12.6313655687,-1436.7,-54.9305,-236.99775,12.6754401427326
"9","10119",0.97,54.3,60,4332,428,3.0480199868,-1871.37,0,-9.08724,3.64482428592647
"10","1012",0.92,35.9,36.7,5933,1286,14.8380092768,-1816.4,-40.0298,-253.242,16.0291669034749
"11","10140",0.97837,68.28739,74.78838,5050.149057,316.799703,2.2163375148,-1776.69,0,-1.93876,2.85494463624133
"12","10160",0.77,14.9,20,1896,1261,10.0595265372,-1969.73,-50.731,-201.203,30.91342016596
"13","10162",0.93,32.9,37.7,3691,730,14.4338940459,-1942.2,-3.47664,-61.133425,12.6686127076421
"14","10167",0.94,36.6,40.8,3842,689,5.3319769193,-1652.03,-1.92533,-45.0481,7.2040543711323
"15","10198",0.89,27.7,32.4,2607,782,14.3670885082,-2528.23,-11.58775,-98.088575,18.1867139995449
"16","10203",0.91,27.2,33.4,3548,878,12.0446395008,-1774.86,-10.30845,-88.9297,11.9823115583594
"17","10220",0.95,40.4,48.2,4696,596,4.1382931779,-1703.34,-0.272973,-32.05395,5.16019516388481
"18","10223",0.96,42,47.4,5148,600,5.2248916689,-1948.01,-0.129777,-28.02255,5.58434474654404
"19","10244",0.88,24.8,29.6,2623,865,17.4614601739,-2298.56,-13.3863,-108.24225,19.0622841278174
"20","10267",0.86,20.6,26.1,2479,1013,15.0861274359,-2230.85,-26.8604,-148.92575,22.0542698551964
"21","1027",0.94,41.7,44.1,7430,1148,7.2674686849,-1681.44,-26.9248,-177.027,9.73103811182256
"22","10272",0.96,44,49.2,5613,587,3.9950098017,-1600.1,0,-27.12455,4.46016165064468
"23","10284",0.97,54.1,59.2,5056,425,2.5291534722,-1603.48,0,-13.0812,3.22991461322354
"24","10294",0.91,31.8,37.1,3103,701,14.9324553379,-2187.38,-4.83253,-68.3161,16.7215076025663
"25","10302",0.95,37.7,45.1,3860,627,9.9970426457,-2132.83,-0.7856335,-41.187175,9.26167909627402
"26","10310",0.96,45.3,50.9,4823,537,6.4946144241,-1919.68,0,-25.6913,5.56853701269295
"27","10318",0.97,46.8,53.7,5519,534,5.065260042,-1917.91,0,-21.1294,4.84017285745656
"28","10350",0.95,39.1,44.4,4154,645,7.9120928592,-1849.33,-0.8785235,-44.347275,7.84866885866434
"29","10375",0.972163,53.35481,59.87001,5519.657642,439.334795,3.9472260486,-1876.33,0,-14.1294,3.7182851197578
"30","10388",0.92,29.8,35.8,3351,779,17.2285609914,-1973.52,-5.42863,-74.597625,15.6215130340521
"31","10394",0.97,32.8,35,6709,522,1.9830008426,-706.656,-3.60456,-35.8494,2.18489332422432
"32","10397",0.98,37.3,39.9,6716,442,2.1756523333,-844.388,-0.755519,-26.38085,2.25107173322997
"33","10399",0.98,39.5,41.5,7199,401,1.7896845857,-729.274,-0.0796227,-18.52105,1.84382416129041
"34","1040",0.96,50.5,54.8,7642,837,6.0741557327,-1869.92,-13.2129,-98.2438,6.01073933227284
"35","10412",0.98,43.1,46.4,7176,345,1.5860640779,-720.012,0,-12.9655,1.72522094787461
"36","10416",0.99,45.8,48.3,7973,317,1.5297925281,-686.885,0,-9.13345,1.61913526940759
"37","10428",0.99,53.7,56.7,6900,235,1.3641807144,-634.331,0,-3.322705,1.48246423126031
"38","10430",0.99,56.6,59,8411,226,1.4090963558,-790.839,0,-2.21817,1.50392051724196
"39","10434",0.97,32.1,33,6292,586,2.4157291107,-841.794,-4.705415,-45.492375,2.66480914754262
"40","10445",0.96,25.6,27.5,6716,778,4.2664196226,-1149.05,-15.8463,-90.83765,4.23365446964597
"41","10449",0.97,27.4,28.9,7508,698,2.6717950726,-928.744,-10.7023,-65.63045,2.95885331141026
"42","10473",0.98,38.3,40.4,7293,405,1.6812279208,-720.873,-0.3062425,-20.0954,1.82437816487223
"43","10479",0.92,15.8,18.5,5725,1309,5.8053315002,-1002.45,-62.91655,-209.426,6.25784279488215
"44","10485",0.88,12.2,13.3,4765,1726,7.374043456,-921.927,-126.1005,-303.4875,10.1055731114804
"45","10514",0.98,39.4,42.9,7382,411,2.7782892971,-955.317,-0.1458775,-23.663825,2.60492689220702
"46","10518",0.95,20.7,21.7,6569,998,3.0056827429,-641.889,-30.117,-129.35325,3.34504859445251
"47","10529",0.94,18.7,23,6087,1024,3.6390140504,-855.171,-33.48605,-137.00575,3.83859527821446
"48","10535",0.95,23.3,24.8,6324,877,4.9190910313,-1152.34,-23.0947,-115.5485,4.98860407007338
"49","10547",0.98,34.5,35.2,7153,527,4.011811306,-1080.01,-2.68963,-41.5114,3.4446168898056
"50","10553",0.98,33.3,36.7,7441,515,3.3135209001,-1103.02,-2.728905,-40.094675,3.07446763012065
"51","10554",0.98,35.7,38.8,8286,470,2.3389024156,-922.223,-1.786615,-31.218975,2.34521926159842
"52","10562",0.98,38.6,42.4,7492,410,2.9933784976,-1072.31,-0.154303,-23.664725,2.77024732519602
"53","10592",0.95,19.6,24,6393,984,3.83273944,-930.116,-30.689,-131.34925,3.90119081088541
"54","1060",0.9,37.7,38.6,4186,1230,23.4206844648,-1618.7,-17.1564,-237.8245,25.3260227287141
"55","10604",0.98,38.9,42.8,7827,398,1.9783811296,-942.052,-0.149435,-20.7082,2.03584929957191
"56","10607",0.98,40.1,41.9,8495,406,2.0733920668,-927.245,-0.08568925,-18.782725,2.04056518614824
"57","10613",0.99,44.4,46.7,8272,333,2.1221526001,-999.31,0,-13.0353,1.97851965860276
"58","10622",0.99,51.5,54.1,9138,262,1.6392294281,-915.384,0,-5.1430175,1.64369119410833
"59","10629",0.93,16.2,18.7,5506,1242,6.1646281873,-1040.33,-61.3868,-208.4605,6.38110215501362
"60","10637",0.98,34.2,36.5,7264,510,3.0564368514,-995.136,-2.74745,-39.537275,2.92615415868133
"61","10638",0.98,33.4,36.2,6919,509,2.5675077544,-973.235,-2.91116,-37.2987,2.55859259108655
"62","10665",0.99,46.6,49.1,7622,297,1.6347293653,-912.833,0,-8.739695,1.63525547238347
"63","10668",0.99,48,52.2,7317,272,1.5694742009,-942.989,0,-6.720065,1.63781546816341
"64","10675",0.96,26.1,28.6,6962,762,5.1040164779,-1233.97,-12.3642,-82.5447,4.7224570245936
"65","10683",0.95,21.2,22.9,7033,947,3.396805831,-967.685,-26.9973,-119.34,3.66690607245551
