"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"1","10",0.85,11.4,14.1,4856,2110,26.6675325239,34.3206850808398
"2","10014",0.94,17.5,32.7,6440,1068,8.7555266015,8.06748100469307
"3","10035",0.96,22.6,42.9,8537,757,4.3559832002,4.26800283549814
"4","10061",0.95,19.9,36.8,7396,949,9.2820688447,6.37114495285668
"5","1009",0.91,30.3,32.2,4980,1427,21.6879993689,23.7295317581964
"6","10092",0.98,31.2,54,7397,511,2.6003401917,2.92445348822334
"7","10094",0.98,32.2,57,9589,494,2.602517927,2.69362472663826
"8","10097",0.92,14.3,25,6182,1276,12.6313655687,12.0262854397248
"9","10119",0.97,54.3,60,4332,428,3.0480199868,6.07693970569768
"10","1012",0.92,35.9,36.7,5933,1286,14.8380092768,16.4186671796548
"11","10140",0.97837,68.28739,74.78838,5050.149057,316.799703,2.2163375148,3.57146811101138
"12","10160",0.77,14.9,20,1896,1261,10.0595265372,63.2417357778972
"13","10162",0.93,32.9,37.7,3691,730,14.4338940459,11.2356687160181
"14","10167",0.94,36.6,40.8,3842,689,5.3319769193,11.1931619757735
"15","10198",0.89,27.7,32.4,2607,782,14.3670885082,25.6207150716998
"16","10203",0.91,27.2,33.4,3548,878,12.0446395008,13.8466889527889
"17","10220",0.95,40.4,48.2,4696,596,4.1382931779,7.51030264806932
"18","10223",0.96,42,47.4,5148,600,5.2248916689,5.6336958694353
"19","10244",0.88,24.8,29.6,2623,865,17.4614601739,27.417991808877
"20","10267",0.86,20.6,26.1,2479,1013,15.0861274359,41.4570325761973
"21","1027",0.94,41.7,44.1,7430,1148,7.2674686849,11.3320072265252
"22","10272",0.96,44,49.2,5613,587,3.9950098017,5.4320827428897
"23","10284",0.97,54.1,59.2,5056,425,2.5291534722,4.47749416675272
"24","10294",0.91,31.8,37.1,3103,701,14.9324553379,19.1199320138915
"25","10302",0.95,37.7,45.1,3860,627,9.9970426457,7.61686970761654
"26","10310",0.96,45.3,50.9,4823,537,6.4946144241,5.68858281635076
"27","10318",0.97,46.8,53.7,5519,534,5.065260042,4.37232788951314
"28","10350",0.95,39.1,44.4,4154,645,7.9120928592,9.78213127522164
"29","10375",0.972163,53.35481,59.87001,5519.657642,439.334795,3.9472260486,3.61547568435113
"30","10388",0.92,29.8,35.8,3351,779,17.2285609914,15.5562988969474
"31","10394",0.97,32.8,35,6709,522,1.9830008426,3.39604537282906
"32","10397",0.98,37.3,39.9,6716,442,2.1756523333,2.99376171475972
"33","10399",0.98,39.5,41.5,7199,401,1.7896845857,2.80433661159022
"34","1040",0.96,50.5,54.8,7642,837,6.0741557327,4.70748999730066
"35","10412",0.98,43.1,46.4,7176,345,1.5860640779,2.45046416136361
"36","10416",0.99,45.8,48.3,7973,317,1.5297925281,2.20456009420901
"37","10428",0.99,53.7,56.7,6900,235,1.3641807144,3.03755927187783
"38","10430",0.99,56.6,59,8411,226,1.4090963558,2.73544098576244
"39","10434",0.97,32.1,33,6292,586,2.4157291107,4.02046191372733
"40","10445",0.96,25.6,27.5,6716,778,4.2664196226,5.13845641620046
"41","10449",0.97,27.4,28.9,7508,698,2.6717950726,3.87123637250557
"42","10473",0.98,38.3,40.4,7293,405,1.6812279208,2.62803807816955
"43","10479",0.92,15.8,18.5,5725,1309,5.8053315002,11.8349367412028
"44","10485",0.88,12.2,13.3,4765,1726,7.374043456,29.725408948684
"45","10514",0.98,39.4,42.9,7382,411,2.7782892971,2.51880470624952
"46","10518",0.95,20.7,21.7,6569,998,3.0056827429,7.58841755006754
"47","10529",0.94,18.7,23,6087,1024,3.6390140504,7.2132286146676
"48","10535",0.95,23.3,24.8,6324,877,4.9190910313,5.3806073879942
"49","10547",0.98,34.5,35.2,7153,527,4.011811306,3.28297493498867
"50","10553",0.98,33.3,36.7,7441,515,3.3135209001,2.82762847231224
"51","10554",0.98,35.7,38.8,8286,470,2.3389024156,2.65904755214276
"52","10562",0.98,38.6,42.4,7492,410,2.9933784976,2.38813057248993
"53","10592",0.95,19.6,24,6393,984,3.83273944,6.12374270461979
"54","1060",0.9,37.7,38.6,4186,1230,23.4206844648,25.9734686847043
